ts_code,symbol,end_date,ann_date,update_flag,version_index,n_versions_in_period,same_day_version_count,type,type_order,p_change_min,p_change_max,net_profit_min,net_profit_max,interval_class,first_ann_date,prev_ann_date,prev_update_flag,prev_type,has_later_version,source_fetched_at,version_evidence_class,pit_conclusion
600008.SH,sh.600008,20200630,2020-07-16,0,1,1,1,略增,2,25.0,35.0,40085.0,43285.0,valid,2020-07-16,,,,False,2026-09-09T13:51:52,single_version_snapshot,no_comparable_history_in_snapshot；该财务期只有一行，不能据快照作修订结论，也不得假设该唯一版本在公告当时可得
600008.SH,sh.600008,20200930,2020-10-13,0,1,1,1,预增,4,50.0,65.0,84855.0,93341.0,valid,2020-10-13,,,,False,2026-09-09T13:51:52,single_version_snapshot,no_comparable_history_in_snapshot；该财务期只有一行，不能据快照作修订结论，也不得假设该唯一版本在公告当时可得
600009.SH,sh.600009,20200630,2020-04-29,1,1,1,1,不确定,0,,,,,missing,2020-04-29,,,,False,2026-09-09T13:51:52,single_version_snapshot,no_comparable_history_in_snapshot；该财务期只有一行，不能据快照作修订结论，也不得假设该唯一版本在公告当时可得
600009.SH,sh.600009,20200930,2020-08-29,0,1,1,1,不确定,0,,,,,missing,2020-08-29,,,,False,2026-09-09T13:51:52,single_version_snapshot,no_comparable_history_in_snapshot；该财务期只有一行，不能据快照作修订结论，也不得假设该唯一版本在公告当时可得
600009.SH,sh.600009,20201231,2020-10-31,1,1,1,1,略减,-1,,,,,missing,2020-10-31,,,,False,2026-09-09T13:51:52,single_version_snapshot,no_comparable_history_in_snapshot；该财务期只有一行，不能据快照作修订结论，也不得假设该唯一版本在公告当时可得
600010.SH,sh.600010,20181231,2019-01-25,0,1,1,1,略增,2,45.46,45.46,299800.0,299800.0,point,2019-01-25,,,,False,2026-09-09T13:51:52,single_version_snapshot,no_comparable_history_in_snapshot；该财务期只有一行，不能据快照作修订结论，也不得假设该唯一版本在公告当时可得
600010.SH,sh.600010,20191231,2020-01-23,0,1,1,1,预减,-2,-82.44,-79.43,58376.0,68376.0,valid,2020-01-23,,,,False,2026-09-09T13:51:52,single_version_snapshot,no_comparable_history_in_snapshot；该财务期只有一行，不能据快照作修订结论，也不得假设该唯一版本在公告当时可得
600010.SH,sh.600010,20200630,2020-04-30,1,1,1,1,不确定,0,,,,,missing,2020-04-30,,,,False,2026-09-09T13:51:52,single_version_snapshot,no_comparable_history_in_snapshot；该财务期只有一行，不能据快照作修订结论，也不得假设该唯一版本在公告当时可得
600012.SH,sh.600012,20200630,2020-04-29,1,1,1,1,不确定,0,,,,,missing,2020-04-29,,,,False,2026-09-09T13:51:52,single_version_snapshot,no_comparable_history_in_snapshot；该财务期只有一行，不能据快照作修订结论，也不得假设该唯一版本在公告当时可得
600012.SH,sh.600012,20200930,2020-08-31,1,1,1,1,不确定,0,,,,,missing,2020-08-31,,,,False,2026-09-09T13:51:52,single_version_snapshot,no_comparable_history_in_snapshot；该财务期只有一行，不能据快照作修订结论，也不得假设该唯一版本在公告当时可得
600012.SH,sh.600012,20201231,2020-10-30,1,1,1,1,不确定,0,,,,,missing,2020-10-30,,,,False,2026-09-09T13:51:52,single_version_snapshot,no_comparable_history_in_snapshot；该财务期只有一行，不能据快照作修订结论，也不得假设该唯一版本在公告当时可得
600017.SH,sh.600017,20181231,2019-01-31,0,1,1,1,预增,4,70.0,80.0,62688.0,66388.0,valid,2019-01-31,,,,False,2026-09-09T13:51:52,single_version_snapshot,no_comparable_history_in_snapshot；该财务期只有一行，不能据快照作修订结论，也不得假设该唯一版本在公告当时可得
600019.SH,sh.600019,20181231,2019-01-19,0,1,1,1,略增,2,8.0,12.0,2067000.0,2147000.0,valid,2019-01-19,,,,False,2026-09-09T13:51:52,single_version_snapshot,no_comparable_history_in_snapshot；该财务期只有一行，不能据快照作修订结论，也不得假设该唯一版本在公告当时可得
600019.SH,sh.600019,20200630,2020-04-29,1,1,1,1,略减,-1,,,,,missing,2020-04-29,,,,False,2026-09-09T13:51:52,single_version_snapshot,no_comparable_history_in_snapshot；该财务期只有一行，不能据快照作修订结论，也不得假设该唯一版本在公告当时可得
600020.SH,sh.600020,20191231,2019-10-29,1,1,2,1,预增,4,50.0,,,,missing,2019-10-29,,,,True,2026-09-09T13:51:52,multi_version_snapshot,as_fetched_version_chain_available；快照保留了多版本行（ann_date/update_flag 排序可复现），可作修订比较的线索；但快照抓取于 2026-09-09，字段值是否为公告当时原值无独立证据，因此该组只具『版本存在性与顺序』证据，不具完整 PIT 证据
600020.SH,sh.600020,20191231,2020-01-18,0,2,2,1,预增,4,80.0,100.0,144000.0,159800.0,valid,2019-10-29,2019-10-29,1,预增,False,2026-09-09T13:51:52,multi_version_snapshot,as_fetched_version_chain_available；快照保留了多版本行（ann_date/update_flag 排序可复现），可作修订比较的线索；但快照抓取于 2026-09-09，字段值是否为公告当时原值无独立证据，因此该组只具『版本存在性与顺序』证据，不具完整 PIT 证据
600020.SH,sh.600020,20200630,2020-04-30,0,1,1,1,略减,-1,,,,,missing,2020-04-30,,,,False,2026-09-09T13:51:52,single_version_snapshot,no_comparable_history_in_snapshot；该财务期只有一行，不能据快照作修订结论，也不得假设该唯一版本在公告当时可得
600020.SH,sh.600020,20200930,2020-08-29,0,1,1,1,不确定,0,,,,,missing,2020-08-29,,,,False,2026-09-09T13:51:52,single_version_snapshot,no_comparable_history_in_snapshot；该财务期只有一行，不能据快照作修订结论，也不得假设该唯一版本在公告当时可得
600020.SH,sh.600020,20201231,2020-10-31,1,1,1,1,略减,-1,,,,,missing,2020-10-31,,,,False,2026-09-09T13:51:52,single_version_snapshot,no_comparable_history_in_snapshot；该财务期只有一行，不能据快照作修订结论，也不得假设该唯一版本在公告当时可得
600021.SH,sh.600021,20181231,2019-01-12,0,1,1,1,预增,4,151.0,202.0,250000.0,300000.0,valid,2019-01-12,,,,False,2026-09-09T13:51:52,single_version_snapshot,no_comparable_history_in_snapshot；该财务期只有一行，不能据快照作修订结论，也不得假设该唯一版本在公告当时可得
600021.SH,sh.600021,20191231,2020-01-21,0,1,1,1,预减,-2,-68.87,-61.94,86200.0,105400.0,valid,2020-01-21,,,,False,2026-09-09T13:51:52,single_version_snapshot,no_comparable_history_in_snapshot；该财务期只有一行，不能据快照作修订结论，也不得假设该唯一版本在公告当时可得
600022.SH,sh.600022,20190930,2019-08-23,1,1,1,1,略减,-1,,,,,missing,2019-08-23,,,,False,2026-09-09T13:51:52,single_version_snapshot,no_comparable_history_in_snapshot；该财务期只有一行，不能据快照作修订结论，也不得假设该唯一版本在公告当时可得
600022.SH,sh.600022,20191231,2019-10-30,1,1,2,1,预减,-2,,,,,missing,2019-10-30,,,,True,2026-09-09T13:51:52,multi_version_snapshot,as_fetched_version_chain_available；快照保留了多版本行（ann_date/update_flag 排序可复现），可作修订比较的线索；但快照抓取于 2026-09-09，字段值是否为公告当时原值无独立证据，因此该组只具『版本存在性与顺序』证据，不具完整 PIT 证据
600022.SH,sh.600022,20191231,2020-01-22,0,2,2,1,预减,-2,-73.42,-73.42,55662.0,55662.0,point,2019-10-30,2019-10-30,1,预减,False,2026-09-09T13:51:52,multi_version_snapshot,as_fetched_version_chain_available；快照保留了多版本行（ann_date/update_flag 排序可复现），可作修订比较的线索；但快照抓取于 2026-09-09，字段值是否为公告当时原值无独立证据，因此该组只具『版本存在性与顺序』证据，不具完整 PIT 证据
600025.SH,sh.600025,20181231,2018-10-30,1,1,2,1,预增,4,,,,,missing,2018-10-30,,,,True,2026-09-09T13:51:52,multi_version_snapshot,as_fetched_version_chain_available；快照保留了多版本行（ann_date/update_flag 排序可复现），可作修订比较的线索；但快照抓取于 2026-09-09，字段值是否为公告当时原值无独立证据，因此该组只具『版本存在性与顺序』证据，不具完整 PIT 证据
600025.SH,sh.600025,20181231,2019-01-26,0,2,2,1,预增,4,154.0,174.0,555986.0,599764.0,valid,2018-10-30,2018-10-30,1,预增,False,2026-09-09T13:51:52,multi_version_snapshot,as_fetched_version_chain_available；快照保留了多版本行（ann_date/update_flag 排序可复现），可作修订比较的线索；但快照抓取于 2026-09-09，字段值是否为公告当时原值无独立证据，因此该组只具『版本存在性与顺序』证据，不具完整 PIT 证据
600026.SH,sh.600026,20181231,2019-01-30,0,1,1,1,预减,-2,-95.5,-89.8,8000.0,18000.0,valid,2019-01-30,,,,False,2026-09-09T13:51:52,single_version_snapshot,no_comparable_history_in_snapshot；该财务期只有一行，不能据快照作修订结论，也不得假设该唯一版本在公告当时可得
600026.SH,sh.600026,20190630,2019-07-18,0,1,2,1,扭亏,3,285.654,310.9705,44000.0,50000.0,valid,2019-07-19,,,,True,2026-09-09T13:51:52,multi_version_snapshot,as_fetched_version_chain_available；快照保留了多版本行（ann_date/update_flag 排序可复现），可作修订比较的线索；但快照抓取于 2026-09-09，字段值是否为公告当时原值无独立证据，因此该组只具『版本存在性与顺序』证据，不具完整 PIT 证据
600026.SH,sh.600026,20190630,2019-07-19,0,2,2,1,扭亏,3,303.9639,331.7772,44000.0,50000.0,valid,2019-07-19,2019-07-18,0,扭亏,False,2026-09-09T13:51:52,multi_version_snapshot,as_fetched_version_chain_available；快照保留了多版本行（ann_date/update_flag 排序可复现），可作修订比较的线索；但快照抓取于 2026-09-09，字段值是否为公告当时原值无独立证据，因此该组只具『版本存在性与顺序』证据，不具完整 PIT 证据
600026.SH,sh.600026,20191231,2020-01-23,0,1,1,1,预增,4,290.5,366.7,41000.0,49000.0,valid,2020-01-23,,,,False,2026-09-09T13:51:52,single_version_snapshot,no_comparable_history_in_snapshot；该财务期只有一行，不能据快照作修订结论，也不得假设该唯一版本在公告当时可得
600026.SH,sh.600026,20200630,2020-07-17,0,1,1,1,预增,4,488.0,531.0,276000.0,296000.0,valid,2020-07-17,,,,False,2026-09-09T13:51:52,single_version_snapshot,no_comparable_history_in_snapshot；该财务期只有一行，不能据快照作修订结论，也不得假设该唯一版本在公告当时可得
600026.SH,sh.600026,20200930,2020-08-28,0,1,1,1,预增,4,,,,,missing,2020-08-28,,,,False,2026-09-09T13:51:52,single_version_snapshot,no_comparable_history_in_snapshot；该财务期只有一行，不能据快照作修订结论，也不得假设该唯一版本在公告当时可得
600026.SH,sh.600026,20201231,2020-10-30,0,1,1,1,预增,4,,,,,missing,2020-10-30,,,,False,2026-09-09T13:51:52,single_version_snapshot,no_comparable_history_in_snapshot；该财务期只有一行，不能据快照作修订结论，也不得假设该唯一版本在公告当时可得
600027.SH,sh.600027,20191231,2020-01-18,0,1,1,1,预增,4,90.0,110.0,327557.0,362557.0,valid,2020-01-18,,,,False,2026-09-09T13:51:52,single_version_snapshot,no_comparable_history_in_snapshot；该财务期只有一行，不能据快照作修订结论，也不得假设该唯一版本在公告当时可得
600028.SH,sh.600028,20180930,2018-10-17,0,1,1,1,预增,4,54.7,56.6,5937300.0,6007300.0,valid,2018-10-17,,,,False,2026-09-09T13:51:52,single_version_snapshot,no_comparable_history_in_snapshot；该财务期只有一行，不能据快照作修订结论，也不得假设该唯一版本在公告当时可得
600029.SH,sh.600029,20181231,2019-01-31,0,1,1,1,预减,-2,-56.0,-47.0,261700.0,314000.0,valid,2019-01-31,,,,False,2026-09-09T13:51:52,single_version_snapshot,no_comparable_history_in_snapshot；该财务期只有一行，不能据快照作修订结论，也不得假设该唯一版本在公告当时可得
600029.SH,sh.600029,20200630,2020-04-30,0,1,1,1,不确定,0,,,,,missing,2020-04-30,,,,False,2026-09-09T13:51:52,single_version_snapshot,no_comparable_history_in_snapshot；该财务期只有一行，不能据快照作修订结论，也不得假设该唯一版本在公告当时可得
600029.SH,sh.600029,20200930,2020-08-29,0,1,1,1,不确定,0,,,,,missing,2020-08-29,,,,False,2026-09-09T13:51:52,single_version_snapshot,no_comparable_history_in_snapshot；该财务期只有一行，不能据快照作修订结论，也不得假设该唯一版本在公告当时可得
600029.SH,sh.600029,20201231,2020-10-31,1,1,1,1,首亏,-4,,,,,missing,2020-10-31,,,,False,2026-09-09T13:51:52,single_version_snapshot,no_comparable_history_in_snapshot；该财务期只有一行，不能据快照作修订结论，也不得假设该唯一版本在公告当时可得
600031.SH,sh.600031,20180930,2018-10-24,0,1,1,1,预增,4,160.0,180.0,468700.0,504800.0,valid,2018-10-24,,,,False,2026-09-09T13:51:52,single_version_snapshot,no_comparable_history_in_snapshot；该财务期只有一行，不能据快照作修订结论，也不得假设该唯一版本在公告当时可得
600031.SH,sh.600031,20181231,2019-01-26,0,1,1,1,预增,4,182.0,202.0,590000.0,632000.0,valid,2019-01-26,,,,False,2026-09-09T13:51:52,single_version_snapshot,no_comparable_history_in_snapshot；该财务期只有一行，不能据快照作修订结论，也不得假设该唯一版本在公告当时可得
600031.SH,sh.600031,20190331,2019-04-15,0,1,1,1,预增,4,100.0,120.0,300000.0,330000.0,valid,2019-04-15,,,,False,2026-09-09T13:51:52,single_version_snapshot,no_comparable_history_in_snapshot；该财务期只有一行，不能据快照作修订结论，也不得假设该唯一版本在公告当时可得
600031.SH,sh.600031,20190630,2019-07-18,0,1,1,1,预增,4,91.82,106.58,650000.0,700000.0,valid,2019-07-18,,,,False,2026-09-09T13:51:52,single_version_snapshot,no_comparable_history_in_snapshot；该财务期只有一行，不能据快照作修订结论，也不得假设该唯一版本在公告当时可得
600031.SH,sh.600031,20191231,2020-01-21,0,1,1,1,预增,4,76.58,92.93,1080000.0,1180000.0,valid,2020-01-21,,,,False,2026-09-09T13:51:52,single_version_snapshot,no_comparable_history_in_snapshot；该财务期只有一行，不能据快照作修订结论，也不得假设该唯一版本在公告当时可得
600033.SH,sh.600033,20200630,2020-04-30,1,1,1,1,不确定,0,,,,,missing,2020-04-30,,,,False,2026-09-09T13:51:52,single_version_snapshot,no_comparable_history_in_snapshot；该财务期只有一行，不能据快照作修订结论，也不得假设该唯一版本在公告当时可得
600033.SH,sh.600033,20200930,2020-08-29,0,1,1,1,略减,-1,,,,,missing,2020-08-29,,,,False,2026-09-09T13:51:52,single_version_snapshot,no_comparable_history_in_snapshot；该财务期只有一行，不能据快照作修订结论，也不得假设该唯一版本在公告当时可得
600033.SH,sh.600033,20201231,2020-10-31,1,1,1,1,预减,-2,,,,,missing,2020-10-31,,,,False,2026-09-09T13:51:52,single_version_snapshot,no_comparable_history_in_snapshot；该财务期只有一行，不能据快照作修订结论，也不得假设该唯一版本在公告当时可得
600035.SH,sh.600035,20191231,2020-01-21,0,1,1,1,预增,4,60.0,90.0,71100.0,84400.0,valid,2020-01-21,,,,False,2026-09-09T13:51:52,single_version_snapshot,no_comparable_history_in_snapshot；该财务期只有一行，不能据快照作修订结论，也不得假设该唯一版本在公告当时可得
600035.SH,sh.600035,20200630,2020-04-29,1,1,1,1,不确定,0,,,,,missing,2020-04-29,,,,False,2026-09-09T13:51:52,single_version_snapshot,no_comparable_history_in_snapshot；该财务期只有一行，不能据快照作修订结论，也不得假设该唯一版本在公告当时可得
600035.SH,sh.600035,20200930,2020-08-28,0,1,1,1,不确定,0,,,,,missing,2020-08-28,,,,False,2026-09-09T13:51:52,single_version_snapshot,no_comparable_history_in_snapshot；该财务期只有一行，不能据快照作修订结论，也不得假设该唯一版本在公告当时可得
600035.SH,sh.600035,20201231,2020-10-30,1,1,1,1,不确定,0,,,,,missing,2020-10-30,,,,False,2026-09-09T13:51:52,single_version_snapshot,no_comparable_history_in_snapshot；该财务期只有一行，不能据快照作修订结论，也不得假设该唯一版本在公告当时可得
600037.SH,sh.600037,20200630,2020-04-29,1,1,1,1,略减,-1,,,,,missing,2020-04-29,,,,False,2026-09-09T13:51:52,single_version_snapshot,no_comparable_history_in_snapshot；该财务期只有一行，不能据快照作修订结论，也不得假设该唯一版本在公告当时可得
600050.SH,sh.600050,20180930,2018-10-22,0,1,1,1,预增,4,164.5,164.5,347000.0,347000.0,point,2018-10-22,,,,False,2026-09-09T13:51:52,single_version_snapshot,no_comparable_history_in_snapshot；该财务期只有一行，不能据快照作修订结论，也不得假设该唯一版本在公告当时可得
600050.SH,sh.600050,20181231,2018-10-23,1,1,1,1,预增,4,,,,,missing,2018-10-23,,,,False,2026-09-09T13:51:52,single_version_snapshot,no_comparable_history_in_snapshot；该财务期只有一行，不能据快照作修订结论，也不得假设该唯一版本在公告当时可得
600050.SH,sh.600050,20191231,2020-01-23,1,1,1,1,略增,2,22.0,22.0,498000.0,498000.0,point,2020-01-23,,,,False,2026-09-09T13:51:52,single_version_snapshot,no_comparable_history_in_snapshot；该财务期只有一行，不能据快照作修订结论，也不得假设该唯一版本在公告当时可得
600051.SH,sh.600051,20200630,2020-04-28,1,1,1,1,预增,4,312.9398,312.9398,30000.0,30000.0,point,2020-04-28,,,,False,2026-09-09T13:51:52,single_version_snapshot,no_comparable_history_in_snapshot；该财务期只有一行，不能据快照作修订结论，也不得假设该唯一版本在公告当时可得
600051.SH,sh.600051,20200930,2020-08-25,1,1,1,1,预增,4,485.3065,540.179,32000.0,35000.0,valid,2020-08-25,,,,False,2026-09-09T13:51:52,single_version_snapshot,no_comparable_history_in_snapshot；该财务期只有一行，不能据快照作修订结论，也不得假设该唯一版本在公告当时可得
600052.SH,sh.600052,20181231,2019-01-26,0,1,1,1,略减,-1,-44.0,-44.0,10500.0,10500.0,point,2019-01-26,,,,False,2026-09-09T13:51:52,single_version_snapshot,no_comparable_history_in_snapshot；该财务期只有一行，不能据快照作修订结论，也不得假设该唯一版本在公告当时可得
600052.SH,sh.600052,20191231,2020-01-23,0,1,1,1,预增,4,1067.0,1067.0,137500.0,137500.0,point,2020-01-23,,,,False,2026-09-09T13:51:52,single_version_snapshot,no_comparable_history_in_snapshot；该财务期只有一行，不能据快照作修订结论，也不得假设该唯一版本在公告当时可得
600053.SH,sh.600053,20191231,2020-01-31,1,1,1,1,预增,4,150.0,190.0,71132.0,82500.0,valid,2020-01-31,,,,False,2026-09-09T13:51:52,single_version_snapshot,no_comparable_history_in_snapshot；该财务期只有一行，不能据快照作修订结论，也不得假设该唯一版本在公告当时可得
600053.SH,sh.600053,20201231,2020-04-29,1,1,3,1,预减,-2,,,,,missing,2020-04-29,,,,True,2026-09-09T13:51:52,multi_version_snapshot,as_fetched_version_chain_available；快照保留了多版本行（ann_date/update_flag 排序可复现），可作修订比较的线索；但快照抓取于 2026-09-09，字段值是否为公告当时原值无独立证据，因此该组只具『版本存在性与顺序』证据，不具完整 PIT 证据
600053.SH,sh.600053,20201231,2020-08-26,1,2,3,1,预减,-2,,,,,missing,2020-04-29,2020-04-29,1,预减,True,2026-09-09T13:51:52,multi_version_snapshot,as_fetched_version_chain_available；快照保留了多版本行（ann_date/update_flag 排序可复现），可作修订比较的线索；但快照抓取于 2026-09-09，字段值是否为公告当时原值无独立证据，因此该组只具『版本存在性与顺序』证据，不具完整 PIT 证据
600053.SH,sh.600053,20201231,2020-10-29,1,3,3,1,预减,-2,,,,,missing,2020-04-29,2020-08-26,1,预减,False,2026-09-09T13:51:52,multi_version_snapshot,as_fetched_version_chain_available；快照保留了多版本行（ann_date/update_flag 排序可复现），可作修订比较的线索；但快照抓取于 2026-09-09，字段值是否为公告当时原值无独立证据，因此该组只具『版本存在性与顺序』证据，不具完整 PIT 证据
600054.SH,sh.600054,20190630,2019-04-27,1,1,1,1,不确定,0,,,,,missing,2019-04-27,,,,False,2026-09-09T13:51:52,single_version_snapshot,no_comparable_history_in_snapshot；该财务期只有一行，不能据快照作修订结论，也不得假设该唯一版本在公告当时可得
600054.SH,sh.600054,20200630,2020-04-30,0,1,1,1,不确定,0,,,,,missing,2020-04-30,,,,False,2026-09-09T13:51:52,single_version_snapshot,no_comparable_history_in_snapshot；该财务期只有一行，不能据快照作修订结论，也不得假设该唯一版本在公告当时可得
600054.SH,sh.600054,20200930,2020-08-22,1,1,1,1,略减,-1,,,,,missing,2020-08-22,,,,False,2026-09-09T13:51:52,single_version_snapshot,no_comparable_history_in_snapshot；该财务期只有一行，不能据快照作修订结论，也不得假设该唯一版本在公告当时可得
600054.SH,sh.600054,20201231,2020-10-30,1,1,1,1,首亏,-4,,,,,missing,2020-10-30,,,,False,2026-09-09T13:51:52,single_version_snapshot,no_comparable_history_in_snapshot；该财务期只有一行，不能据快照作修订结论，也不得假设该唯一版本在公告当时可得
600055.SH,sh.600055,20200630,2020-04-29,1,1,2,1,预增,4,,,,,missing,2020-04-29,,,,True,2026-09-09T13:51:52,multi_version_snapshot,as_fetched_version_chain_available；快照保留了多版本行（ann_date/update_flag 排序可复现），可作修订比较的线索；但快照抓取于 2026-09-09，字段值是否为公告当时原值无独立证据，因此该组只具『版本存在性与顺序』证据，不具完整 PIT 证据
600055.SH,sh.600055,20200630,2020-07-03,0,2,2,1,预增,4,126.0,139.0,10000.0,10600.0,valid,2020-04-29,2020-04-29,1,预增,False,2026-09-09T13:51:52,multi_version_snapshot,as_fetched_version_chain_available；快照保留了多版本行（ann_date/update_flag 排序可复现），可作修订比较的线索；但快照抓取于 2026-09-09，字段值是否为公告当时原值无独立证据，因此该组只具『版本存在性与顺序』证据，不具完整 PIT 证据
600057.SH,sh.600057,20181231,2019-01-25,0,1,1,1,预增,4,50.0,50.0,107000.0,107000.0,point,2019-01-25,,,,False,2026-09-09T13:51:52,single_version_snapshot,no_comparable_history_in_snapshot；该财务期只有一行，不能据快照作修订结论，也不得假设该唯一版本在公告当时可得
600058.SH,sh.600058,20181231,2018-10-30,0,1,2,1,首亏,-4,,,,,missing,2018-10-30,,,,True,2026-09-09T13:51:52,multi_version_snapshot,as_fetched_version_chain_available；快照保留了多版本行（ann_date/update_flag 排序可复现），可作修订比较的线索；但快照抓取于 2026-09-09，字段值是否为公告当时原值无独立证据，因此该组只具『版本存在性与顺序』证据，不具完整 PIT 证据
600058.SH,sh.600058,20181231,2019-01-29,0,2,2,1,首亏,-4,-2079.0185,-2079.0185,-68300.0,-68300.0,point,2018-10-30,2018-10-30,0,首亏,False,2026-09-09T13:51:52,multi_version_snapshot,as_fetched_version_chain_available；快照保留了多版本行（ann_date/update_flag 排序可复现），可作修订比较的线索；但快照抓取于 2026-09-09，字段值是否为公告当时原值无独立证据，因此该组只具『版本存在性与顺序』证据，不具完整 PIT 证据
600058.SH,sh.600058,20190630,2019-04-27,1,1,1,1,不确定,0,,,,,missing,2019-04-27,,,,False,2026-09-09T13:51:52,single_version_snapshot,no_comparable_history_in_snapshot；该财务期只有一行，不能据快照作修订结论，也不得假设该唯一版本在公告当时可得
600058.SH,sh.600058,20190930,2019-08-31,1,1,1,1,不确定,0,,,,,missing,2019-08-31,,,,False,2026-09-09T13:51:52,single_version_snapshot,no_comparable_history_in_snapshot；该财务期只有一行，不能据快照作修订结论，也不得假设该唯一版本在公告当时可得
600058.SH,sh.600058,20191231,2019-10-30,1,1,2,1,扭亏,3,,,,,missing,2019-10-30,,,,True,2026-09-09T13:51:52,multi_version_snapshot,as_fetched_version_chain_available；快照保留了多版本行（ann_date/update_flag 排序可复现），可作修订比较的线索；但快照抓取于 2026-09-09，字段值是否为公告当时原值无独立证据，因此该组只具『版本存在性与顺序』证据，不具完整 PIT 证据
600058.SH,sh.600058,20191231,2020-01-21,0,2,2,1,扭亏,3,118.6587,118.6587,15000.0,15000.0,point,2019-10-30,2019-10-30,1,扭亏,False,2026-09-09T13:51:52,multi_version_snapshot,as_fetched_version_chain_available；快照保留了多版本行（ann_date/update_flag 排序可复现），可作修订比较的线索；但快照抓取于 2026-09-09，字段值是否为公告当时原值无独立证据，因此该组只具『版本存在性与顺序』证据，不具完整 PIT 证据
600058.SH,sh.600058,20200630,2020-04-28,1,1,1,1,略减,-1,,,,,missing,2020-04-28,,,,False,2026-09-09T13:51:52,single_version_snapshot,no_comparable_history_in_snapshot；该财务期只有一行，不能据快照作修订结论，也不得假设该唯一版本在公告当时可得
600058.SH,sh.600058,20201231,2020-10-30,1,1,1,1,略增,2,,,,,missing,2020-10-30,,,,False,2026-09-09T13:51:52,single_version_snapshot,no_comparable_history_in_snapshot；该财务期只有一行，不能据快照作修订结论，也不得假设该唯一版本在公告当时可得
600060.SH,sh.600060,20181231,2019-01-31,0,1,1,1,预减,-2,-66.0,-59.0,32447.0,38880.0,valid,2019-01-31,,,,False,2026-09-09T13:51:52,single_version_snapshot,no_comparable_history_in_snapshot；该财务期只有一行，不能据快照作修订结论，也不得假设该唯一版本在公告当时可得
600061.SH,sh.600061,20191231,2020-01-21,0,1,1,1,预增,4,70.0,86.0,285857.0,312517.0,valid,2020-01-21,,,,False,2026-09-09T13:51:52,single_version_snapshot,no_comparable_history_in_snapshot；该财务期只有一行，不能据快照作修订结论，也不得假设该唯一版本在公告当时可得
