# fcst-reason-struct-full wave(batch) 003 输入渲染（由 render_batch.py 从 row_index.parquet 生成，schema v1）
# 每条记录两行：元信息行 + REASON 行。key_quote 必须是 REASON 文本的逐字子串。
# 词表: demand_up/demand_down/price_up/price_down/orders/cost_up/cost_down/fx/impairment/non_recurring/ma_restructuring/epidemic_shock/accounting/core_ops/other
### ordinal=01200 type=扭亏 ts_code=600458.SH end_date=20191231 ann_date=20191031 update_flag=1
REASON: 2018年度，公司专注于主营业务发展，在原有净水龙头及配件业务的基础上，增加水环境综合治理业务，多元化发展环保相关产业。在净水龙头及配件业务方面，公司面临原材料持续高位等不利的市场环境变化，通过不断提高产品质量，加强成本控制和技术水平提升，合理资源配置，保证了公司净水龙头业务经营业绩的稳定，也为公司的未来可持续发展奠定良好基础。在水环境综合治理业务方面，公司控股子公司龙净水业具备较强的技术优势，同时依托于上市公司的资金实力及影响力，形成了较强的竞争优势，业务规模得到迅速扩张，公司盈利能力与上年度相比有了较大提升。

### ordinal=01207 type=扭亏 ts_code=600556.SH end_date=20191231 ann_date=20191030 update_flag=1
REASON: 截至本报告期末公司由于支付重大资产重组中介相关费用、对投资者诉讼计提预计负债等支出金额较大，公司净利润为亏损且亏损金额较大，在重大资产重组完成前公司盈利能力仍然较弱，预计年初至下一报告期末累计净利润可能为亏损。

### ordinal=01208 type=扭亏 ts_code=600571.SH end_date=20181231 ann_date=20190130 update_flag=0
REASON: （一）投资收益影响1、经公司六届十九次、六届二十次董事会会议审议通过，决定将公司持有的趣链科技5.7201%股权作价人民币【8,580.2023】万元转让给理想国际控股集团有限公司，此次出售股权公司获得约8,000万元投资收益。2、经公司2018年第一次临时股东大会审议通过，决定择机处置公司持有的可供出售金融资产财通证券股份有限公司（以下简称“财通证券”）的股份，2018年度公司通过证券集中交易系统累计减持财通证券无限售流通股1,800万股，上述减持公司获得约10,500万元投资收益。（二）主营业务影响1、公司子公司上海科匠信息科技有限公司（简称“上海科匠”）主营业务是为企业提供移动应用的解决方案，产品主要是APP等手机软件；由于受整体市场需求下滑以及市场竞争加剧后产品单价下跌等因素影响，上海科匠继2017年度经营出现亏损后，2018年度经营继续亏损，预计亏损金额在6,300万元-7,300万元之间。受此影响，评估机构、审计机构及公司拟进行商誉和商标使用权等无形资产的减值评估和测试，公司拟计提商誉和其他无形资产减值损失预计在5,600万-6,600万之间。2、公司子公司杭州天明环保工程有限公司（简称“天明环保”）主营业务是为火电等行业提供环保除尘设备；因受下游客户方需求萎缩以及市场竞争加剧影响，天明环保继2017年度经营出现亏损后，2018年度经营继续亏损，预计亏损金额在2,000万元-3,000万元之间。

### ordinal=01209 type=扭亏 ts_code=600579.SH end_date=20181231 ann_date=20190131 update_flag=0
REASON: （一）报告期内，一是受化工、石油化工行业回暖的影响，公司订单和营业收入、净利润较上年同期均有较大幅增长；二是公告期内，公司完成了重大资产重组工作，按照会计准则的要求，重组标的资产克劳斯玛菲的全年经营业绩合并进入上市公司，致使2018年公司全年业绩出现较大幅度增长。（二）报告期内，归属于上市公司股东扣除非经常性损益的净利润为负，主要原因为，2018年度公司发生同一控制下的企业合并，上年度重组标的全年的净损益均列为非经常性损益。同时，报告期内公司因完成重组，计提了相关中介机构费用。

### ordinal=01210 type=扭亏 ts_code=600601.SH end_date=20181231 ann_date=20190129 update_flag=0
REASON: （一）非经营性损益的影响公司2018年度业绩预盈主要由于公司转让全资子公司方正科技集团苏州制造有限公司100%股权、出售公司持有的申万宏源和上海银行股票、政府补助以及诉讼计提等非经常性损益事项所致，上述事项合计增加公司本期利润约3.50亿元。（二）投资收益公司2018年收到参股公司北大方正集团财务有限公司现金分红款7,500万元。风险提示（一）2017年5月9日，公司收到中国证监会《行政处罚决定书》（[2017]43号），部分投资者以公司虚假陈述导致其投资损失为由对公司提起诉讼。截至2018年12月31日，根据法院向公司送达的诉讼文件，法院共计受理投资者提起的诉讼909件（不含已撤诉或裁定驳回类112件），涉诉金额共计约1.57亿元。公司根据实际情况并参考类似公司案例，在本次2018年度业绩预告中对该类诉讼初步计提预计负债约4,000万元。但因公司该类诉讼尚未判决，后续判决进展可能会导致公司对相关计提预计负债金额进行调整。（二）公司于2018年12月7日收到上海证券交易所《关于对方正科技集团股份有限公司有关媒体报道事项的问询函》（上证公函【2018】2696号），公司董事会全体董事商讨后一致要求公司聘请第三方会计师就问询函的相关内容进行全面核查，公司按照董事会要求聘请了第三方会计师事务所对公司子公司方正宽带和方正国际的特定事项和经营业绩情况进行全面核查（详见公司公告临2018-061号），核查结果可能导致公司会计报表数据调整。

### ordinal=01211 type=扭亏 ts_code=600608.SH end_date=20190630 ann_date=20190430 update_flag=1
REASON: 报告期内，公司进一步优化业务模式，积极拓展业务渠道，持续提高资金使用效率，营业收入、营业利润同比均大幅增加，净利润同比扭亏为盈。

### ordinal=01212 type=扭亏 ts_code=600608.SH end_date=20190930 ann_date=20190820 update_flag=1
REASON: 报告期内，公司进一步优化业务模式、调整产品结构，积极拓展业务渠道，持续提高资金使用效率，营业收入、营业利润同比均稳步增加，净利润同比扭亏为盈。

### ordinal=01213 type=扭亏 ts_code=600608.SH end_date=20191231 ann_date=20191029 update_flag=1
REASON: 报告期内，公司进一步优化业务模式、调整产品结构，积极拓展业务渠道，持续提高资金使用效率，营业收入、营业利润同比均稳步增加，净利润同比扭亏为盈。经公司财务部门初步测算，预测年初至下一报告期期末的累计净利润可能为盈利。

### ordinal=01214 type=扭亏 ts_code=600645.SH end_date=20181231 ann_date=20190128 update_flag=0
REASON: （一）报告期内，公司将持有的北京泛生子基因科技有限公司6.483%股权以1.25亿元价格转让给深圳海峡生命科学投资合伙企业（有限合伙），本次交易对公司2018年合并利润产生1.09亿元的影响；（二）报告期内，公司子公司和泽生物科技有限公司将持有的北京三有利和泽生物科技有限公司15.18%股权以4,048万元价格转让给杭州顺亦投资管理有限公司，本次交易对公司2018年合并利润产生1.51亿元的影响；（三）上海执诚生物科技有限公司合并商誉存在减值迹象，预计减值金额在2-2.5亿元左右，公司已聘请专业评估机构对上海执诚合并商誉开展与减值测试相关的估值工作，最终数据需以专业评估机构所出具的评估报告结果为确定依据；（四）报告期内，上海傲源医疗用品有限公司纳入公司合并报表范围。风险提示:（一）上海执诚合并商誉减值测试相关工作尚在进行中，具体减值金额存在不确定性；（二）根据与广州达赛医药科技有限责任公司的和解协议，广州达赛需在2019年3月31日前完成全部支付3000万元浙江赛尚医药科技有限公司67%股权转让款，公司能否全额收到相关款项存在不确定性。

### ordinal=01215 type=扭亏 ts_code=600647.SH end_date=20190630 ann_date=20190420 update_flag=0
REASON: 若公司持有的金融资产公允价值未出现大幅下降，预计公司年初至下一报告期期末将实现盈利。

### ordinal=01216 type=扭亏 ts_code=600647.SH end_date=20190930 ann_date=20190727 update_flag=1
REASON: 公司持有的金融资产公允价值变动较大，且转让新亚快餐股权实现投资收益1,033万元

### ordinal=01217 type=扭亏 ts_code=600647.SH end_date=20191231 ann_date=20191026 update_flag=1
REASON: 公司持有的金融资产公允价值较上年末变动较大，且转让新亚快餐股权实现投资收益1,033万元，预计年初至下一报告期期末公司将实现盈利。

### ordinal=01218 type=扭亏 ts_code=600652.SH end_date=20191231 ann_date=20191031 update_flag=1
REASON: 根据目前市场环境和公司年初至本报告期末的营业收入、归属于上市公司股东的净利润较上年同期大幅下降等经营情况，公司预计年初至下一报告期期末的累计经营性净利润可能仍为亏损。上述业绩预测不构成对投资者的承诺，具体财务数据以经审计后的公司2019年年度财务数据为准，敬请广大投资者谨慎决策，注意投资风险。

### ordinal=01219 type=扭亏 ts_code=600653.SH end_date=20181231 ann_date=20190131 update_flag=0
REASON: （1）本年度公司相继处置上海华晨汽车租赁有限公司和广发银行股权，取得较大投资收益；（2）公司拟对部分子公司计提减值准备，减值金额将对公司净利润产生一定影响。

### ordinal=01220 type=扭亏 ts_code=600661.SH end_date=20191231 ann_date=20191031 update_flag=1
REASON: 2018年度，公司实现归属上市公司股东的净利润为-2.67亿元，主要系公司2018年度对上海赛领交大教育股权投资基金可供出售金融资产计提减值准备1亿元和计提预计负债1.16亿元以及公司参股企业---上海交大昂立股份有限公司2018年度归属上市公司股东的净利润亏损5.06亿元，公司按持股比例计入投资亏损6,845.80万元。2019年公司各项经营管理工作稳步开展，经公司财务部门初步测算，预计2019年度公司将扭亏为盈。

### ordinal=01221 type=扭亏 ts_code=600671.SH end_date=20191231 ann_date=20191030 update_flag=1
REASON: 因临安区人民政府征收公司位于临安区锦城街道苕溪南路78号厂区土地、房产，公司获得政府征收补偿款将对公司本年度经营业绩产生积极影响，考虑到停产、搬迁等方面的成本和费用，本次征收补偿综合对公司净利润的影响目前尚难以确定，具体以会计师事务所年度审计结果为准。

### ordinal=01222 type=扭亏 ts_code=600682.SH end_date=20191231 ann_date=20191031 update_flag=1
REASON: 因子公司HOFUKI进入破产托管程序后公司不再控制，2018年度报告期公司全额计提了1.55亿英镑的长期股权投资减值损失（约人民币13.85亿），同时全额计提了对HOFUKI其他应收款坏账损失4.91亿元。公司预计年初至下一报告期期末累计的净利润与上年同期相比将会发生大幅上升。

### ordinal=01223 type=扭亏 ts_code=600698.SH end_date=20191231 ann_date=20191025 update_flag=1
REASON: 2019年，在复杂的经济环境下，汽车零部件行业竞争尤为激烈，公司的生产经营面临着较大的困难。为较好实现年度经营目标，公司加大了产品研发力度，积极拓展产品销售市场，强力推行降本增效，充分运用国家、当地政府的各项优惠政策，通过上述多种举措，预测报告期末可实现盈利。

### ordinal=01224 type=扭亏 ts_code=600716.SH end_date=20181231 ann_date=20190131 update_flag=0
REASON: （一）主营业务影响归属于上市公司股东扣除非经常性损益后的净利润预计亏损的原因是：本期主要销售项目位于泰兴和镇江等三线城市，销售单价相对较低、销售毛利率较低，导致主营业务盈利能力较弱。（二）非经营性损益的影响公司本次业绩预盈主要是由于本公司控股孙公司南京龙凤名下位于南京市核心商业区新街口的铁管巷A、C地块被政府收回形成资产处置收益所致，影响金额约为58500万元。

### ordinal=01225 type=扭亏 ts_code=600716.SH end_date=20190630 ann_date=20190430 update_flag=1
REASON: 由于镇江项目与宜兴项目集中交付，16凤凰债提前兑付降低财务费用。

### ordinal=01226 type=扭亏 ts_code=600720.SH end_date=20190331 ann_date=20190410 update_flag=0
REASON: 1．本期产品销量同比上升。2．2019年1月1日执行新金融工具准则，本期公司持有兰石重装股票公允价值变动收益增加。3．本期公司处置淘汰落后生产线资产，资产处置收益增加。4．本期产品生产成本同比下降，主要原因一是2018年10月1日公司变更固定资产折旧年限等会计估计，折旧费用同比减少；二是本期将“错峰生产”期间停工费用在年度内分期摊销。

### ordinal=01227 type=扭亏 ts_code=600721.SH end_date=20191231 ann_date=20191025 update_flag=1
REASON: 公司将聘请专业机构，对商誉进行测试，目前尚不确定。

### ordinal=01228 type=扭亏 ts_code=600724.SH end_date=20181231 ann_date=20190116 update_flag=0
REASON: （一）主营业务影响。1、公司整体出售上年亏损的房地产开发业务。2、公司水泥建材板块，报告期内归属于上市公司股东的净利润同比增加8,300万元左右，同比增长100%。（二）非经营性损益的影响。2018年11月完成出售上年亏损的房地产开发业务，并由此增加归属于上市公司股东的净利润34,500万元。

### ordinal=01229 type=扭亏 ts_code=600724.SH end_date=20181231 ann_date=20190309 update_flag=0
REASON: （一）主营业务影响。1、公司整体出售上年亏损的房地产开发业务。2、公司水泥建材板块，报告期内归属于上市公司股东的净利润同比增加8,300万元左右，同比增长100%。（二）非经营性损益的影响。2018年11月完成出售上年亏损的房地产开发业务，并由此增加归属于上市公司股东的净利润34,500万元。业绩预告更正的主要原因:前次业绩预告数据测算过程中，由于财务部门会计政策理解偏差，非经常性损益未扣除出售房产板块业务过渡期内的期间损益。

### ordinal=01230 type=扭亏 ts_code=600726.SH end_date=20190630 ann_date=20190730 update_flag=0
REASON: 本期业绩增加的主要因素为参股公司盈利以及公司积极应对电力辅助服务市场，扣减的电力市场深调辅助服务费大幅减少所致。由于公司2017年、2018年连续两个会计年度经审计的归属于上市公司股东的净利润为负值，根据《上海证券交易所股票上市规则》第13.2.1条第一款规定，公司股票已于2019年4月30日被实施退市风险警示。根据《股票上市规则》第14.1.1条第一款的相关规定，若公司出现2019年度经审计的归属于上市公司股东的净利润继续为负值的情形，公司股票将可能被暂停上市。

### ordinal=01231 type=扭亏 ts_code=600744.SH end_date=20181231 ann_date=20190131 update_flag=0
REASON: （一）主营业务影响受区域火力发电市场回暖影响，公司2018年度实现发电量238.98亿千瓦时，同比上涨43.60亿千瓦时，涨幅22.31%；实现主营业务收入941,230.94万元，同比增加211,946.48万元，增幅29.32%；发生主营业务成本879,533.85万元，同比增加148,921.87万元，增幅20.38%，其中：燃料成本同比增加117,133.60万元。燃料成本同比增加117,133.60万元，主要原因是：因燃料市场价格持续高位运行影响，公司发电标准煤单价由年初的877.51元/吨上涨至年末的879.61元/吨，影响燃料成本同比增加1,445.71万元；因电量增加致标煤量上涨影响燃料成本同比增加115,687.90万元。（二）非经营性损益的影响预计公司本期取得非经常性收益约31,800万元，主要是：1.非流动资产处臵收益约16,556.05万元，其中：株洲125机组资产处臵收益2,963.47万元，锡东公司采矿权指标处臵收益7,877.96万元，华银地产公司股权处臵收益5,170.28万元；2.计入当期损益的政府补助4,740.03万元；3.递延所得税转回增加净利润5,643.99万元；4.其他营业外收入4,178.22万元。

### ordinal=01232 type=扭亏 ts_code=600745.SH end_date=20190930 ann_date=20190831 update_flag=1
REASON: 公司上半年实现归属于母公司股东的净利润为人民币1.96亿元。目前，公司经营增长态势良好，三季度可望继续保持增长。

### ordinal=01233 type=扭亏 ts_code=600749.SH end_date=20181231 ann_date=20190126 update_flag=0
REASON: （一）主营业务收入增长2018年，公司不断加大营销渠道拓展和客户挖掘力度，下属景区客流量实现不同程度的增长，同时，公司通过营销创新、产品升级和服务提升，聚焦游客转化率，景区内车游、船游、餐饮等收入进一步提高，2018年公司总体营业收入增长较为明显。（二）成本控制公司将原有下属五家酒店资产置出，降低了相关运营成本中人工成本和折旧摊销等；同时，公司进一步优化内部控制，各项运营成本、费用支出等得到有效控制。（三）非经营性损益的影响报告期内，公司出售下属五家酒店资产、使用闲置自有资金和闲置募集资金进行现金管理，一定程度上增加了本期利润。

### ordinal=01234 type=扭亏 ts_code=600759.SH end_date=20181231 ann_date=20190131 update_flag=0
REASON: （一）公司子公司马腾石油股份有限公司（以下简称“马腾公司”）油田提产，本期产量较上年同期大幅增加，营业收入同比增加。（二）2018年国际原油价格稳步上升，马腾公司原油销售平均价格同步上行，较上年同期大幅增加，营业收入同比增加。

### ordinal=01235 type=扭亏 ts_code=600768.SH end_date=20190630 ann_date=20190430 update_flag=1
REASON: 由于公司2018年实施的重大资产出售暨关联交易事项基本完成，铝板带材相关资产转让收益将得到确认；同时公司置出铝板带材业务获取的交易对价有效降低了公司资产负债率，期间财务费用大幅下降；且公司现有铝型材经营业务和铝产品贸易业务保持相对稳定。

### ordinal=01236 type=扭亏 ts_code=600768.SH end_date=20190930 ann_date=20190819 update_flag=1
REASON: 由于公司2018年实施的重大资产出售暨关联交易事项基本完成，铝板带材业务相关资产及负债的转让收益得到确认；同时公司置出铝板带材业务获取的交易对价有效降低了公司资产负债率，期间财务费用大幅下降；且公司现有铝型材经营业务和铝产品贸易业务保持相对稳定。

### ordinal=01237 type=扭亏 ts_code=600768.SH end_date=20191231 ann_date=20191029 update_flag=1
REASON: 由于公司2018年实施的重大资产出售暨关联交易事项基本完成，铝板带材业务相关资产及负债的转让收益得到确认；同时公司置出铝板带材业务获取的交易对价有效降低了公司资产负债率，期间财务费用大幅下降；且公司现有铝型材经营业务和铝产品贸易业务保持相对稳定，故预计2019年度归属于上市公司股东的净利润同比将扭亏为盈，盈利金额在11,000万元左右。

### ordinal=01238 type=扭亏 ts_code=600778.SH end_date=20181231 ann_date=20190130 update_flag=0
REASON: （一）主营业务影响。2018年，公司通过积极调整主营业务经营模式、加大各门店多业态经营占比、推进实施联营转租赁等各项措施，公司其他业务收入较上年同期增加，营业成本较上年同期下降。（二）非经营性损益的影响。2018年度，公司非经营性损益约为-3,000万元，主要系公司计提未决诉讼预计负债5,000万元所致。上年同期，公司非经营性损益约为-23,700万元，主要系公司提前终止部分门店的租赁经营，产生关店损失约25,600万元所致。

### ordinal=01239 type=扭亏 ts_code=600784.SH end_date=20181231 ann_date=20190125 update_flag=0
REASON: 1.公司本期加大盘活存量资产工作力度，子公司山东省鲁邦房地产开发有限公司通过公开挂牌方式出售其持有的青岛泰泽海泉置业有限公司90%股权,实现投资收益对本期利润影响较大。2．公司本期清算联营企业青岛青大电缆有限公司，实现投资收益对本期利润影响较大。3.公司子公司济南鲁邦置业有限公司出售银河大厦项目剩余房产，实现收益对本期利润影响较大。

### ordinal=01240 type=扭亏 ts_code=600792.SH end_date=20181231 ann_date=20190129 update_flag=0
REASON: （一）主营业务影响报告期内，公司抓住钢铁行业市场环境明显改善、焦炭价格持续上涨的有利时机，按照高水平、满负荷的方式组织生产，使得主营业务收入较上年同期有大幅增长；同时，公司扎实推进内部控制制度建设和对标挖潜工作，公司生产成本得到有效控制，导致2018年度主营业务盈利能力明显好转。（二）非经常性损益的影响2018年公司转让成都投智瑞峰投资中心（有限合伙）LP份额获得投资收益3,537万元，因政府补助获得收益约1,000万元。由此增加归属于上市公司股东的净利润约4,500万元。

### ordinal=01241 type=扭亏 ts_code=600794.SH end_date=20181231 ann_date=20190130 update_flag=0
REASON: （一）主营业务影响1、子公司张家港保税区长江国际港务有限公司本期实现净利润3,900万元左右，较去年同期增加2,700万元左右，主要是长江国际本期码头接货总量及库存总量均较去年同期增加，营业收入较去年同期有所增加而成本、费用总体较去年同期有所减少所致。2、子公司张家港扬子江保税贸易有限公司本期实现净利润-1,400万元左右，较去年同期减少2,500万元左右，主要是受市场价格波动影响，自营贸易亏损及计提资产减值损失所致。3、子公司张家港保税区外商投资服务有限公司本期实现净利润1,400万元左右（不含从长江国际取得的投资收益），较去年同期减少700万元左右，主要是外服公司本期业务量较去年同期有所下降所致。（二）非经常性损益影响1、子公司上海保港股权投资基金有限公司及上海保港张家港保税区股权投资基金有限公司本期实现净利润1,800万元左右，较去年同期增加19,200万元左右，主要系证券投资产生的处置损益及公允价值变动影响所致。2、子公司张家港保税区长江国际扬州石化仓储有限公司本期依据诉讼案件（于荣祥案）的终审判决及裁定结果转回预计负债1,810.02万元，去年同期因涉诉案件（肖菲案）履行连带责任赔付支出1,793.80万元，导致本期净利润较去年同期增加3,600万元左右。3、因转让江苏化工品交易中心有限公司股权对本期净利润的影响额为2,800万元左右。

### ordinal=01242 type=扭亏 ts_code=600800.SH end_date=20181231 ann_date=20190125 update_flag=0
REASON: （一）主营业务影响。公司整体市场竞争日益激烈，加之印刷类产品承揽价格下降，且原材料价格不断上涨、生产成本、费用居高不下等诸多不利因素的影响，公司营业利润呈现亏损。联营公司本年亏损金额加大，造成投资收益减少所致。（二）非经营性损益的影响。1.根据《天津市土地整理储备管理办法》（2008年津政令第8号）、天津市红桥区人民政府《区长办公会议纪要》（[2018]第39次）等文件，天津市红桥区人民政府关于和苑西区二期征迁项目整体规划及对天津市棚户区改造定向安置房及配套基础设施（和苑西区二期）地块内的土地实施征收，决定将本公司面积35.77亩的国有土地（土地证号：西青单国用2003更2第074号）予以有偿收回。公司与天津市红桥土地房屋征收中心签订《协议书》，以中企华评报字（2018）第4103号评估报告评估值为依据，确定综合补偿标准为220.27万元/亩，合计7,879.1万元。2018年12月4日，公司收到天津市红桥土地房屋征收中心支付的全部土地补偿款78,791,000.00元。本次交易预计增加公司2018年利润约为7,376.65万元。2.公司于2018年9月3日召开第八届董事会第十三次会议，会议审议通过了《天津环球磁卡股份有限公司关于拟挂牌转让两家子公司100%股权的议案》，同意通过天津产权交易中心公开挂牌方式整体转让所持有的子公司海口保税区金卡、海南海卡两家子公司全部股权。挂牌期满后，经天津产权交易中心审核确认，海南远洋贸易有限公司被确认为唯一的摘牌方。2018年12月5日，天津产权交易中心已全额收到乙方海南远洋贸易有限公司支付的本次股权转让款合计人民币470万元。2018年利润约为6028万元。海口保税区金卡、海南海卡不再纳入公司合并报表范围。对公司合并报表口径，初步测算预计增加公司2018年利润约为6028万元。

### ordinal=01243 type=扭亏 ts_code=600802.SH end_date=20181231 ann_date=20190126 update_flag=0
REASON: 1、报告期公司主营业务扭亏并大幅盈利。主要是受益于水泥行业供给侧结构性改革持续推进及环保治理力度加大，以及福建省水泥企业错峰生产的施行，市场供需关系有所改善，公司水泥（含商品熟料，下同）平均售价同比上涨30.47%；其次，通过大力加强绩效管理和持续开展管理提升活动，公司运营管理、市场营销管理、组织管理效能均有所改善或提升，公司水泥产、销量均超额完成预算，并创历史新高，全年水泥销量同比增加23.34%，成本、费用管控较好，商品毛利率较大提升。2、非经常性损益影响。报告期公司实现非经常性损益约4,481万元（税前），增加归属于上市公司股东的净利润约3,387万-15,180元，主要是公司漳州水泥厂房屋土地被政府征收，结算补偿收益4,032万元（税前）。

### ordinal=01244 type=扭亏 ts_code=600805.SH end_date=20181231 ann_date=20190130 update_flag=0
REASON: （一）报告期内，公司全资子公司江苏悦达纺织集团有限公司业绩实现扭亏为盈。（二）报告期内，公司参股公司东风悦达起亚汽车有限公司全年销售汽车370,002辆，同比增长2.8%，2018年度净利润较2017年度大幅减亏。（三）公司2017年度计提商誉减值10,236.68万元，2018年度预计计提商誉减值不超过163万元。（四）公司2018年全年业绩较2018年1-9月份业绩减少，主要系东风悦达起亚汽车有限公司2018年第四季度加大促销力度导致业绩下滑所致。（五）报告期内公司出售所持华泰保险集团股份有限公司部分股权事项，截止2018年12月31日，尚未取得有关部门批复，转让手续尚未完成。公司出售所持内蒙古西蒙悦达能源有限公司43.7%股权事项，截止2018年12月31日，转让手续尚未完成。

### ordinal=01245 type=扭亏 ts_code=600807.SH end_date=20181231 ann_date=20190131 update_flag=0
REASON: 2018年度公司业绩预盈的主要原因是，公司全力化解债务风险，通过与相关债权人签署债务和解协议、推进相关账款的收回等工作，实现相关债务重组收益、对非金融企业收取的资金占用费、资产处置收益等预计140100万元。报告期内，公司资金紧张，主营业务开展受到一定影响，致使经营规模收缩，加上相关负债计提财务费用、手续费及佣金支出等约121800万元和计提管理费用约9320万元等因素影响，导致公司2018年预计实现扣除非经常性损益后的净利润-138100万元到-137100万元。

### ordinal=01246 type=扭亏 ts_code=600807.SH end_date=20190630 ann_date=20190430 update_flag=1
REASON: 受公司2019年财务费用下降及资产减值损失计提降低等因素的影响，公司预计2019年半年度的累计净利润可能为盈利。

### ordinal=01247 type=扭亏 ts_code=600807.SH end_date=20190930 ann_date=20190810 update_flag=1
REASON: 因公司相关债务和解，借款利率下降，导致公司财务费用与上年同期相比下降.

### ordinal=01248 type=扭亏 ts_code=600817.SH end_date=20181231 ann_date=20190126 update_flag=0
REASON: 一方面，公司房屋租赁业务收入稳定，成本得到有效控制，对公司本期业绩有积极影响；另一方面，公司集中业务优势，加大对水处理业务的市场开拓力度，业务量实现了一定增长。

### ordinal=01249 type=扭亏 ts_code=600857.SH end_date=20181231 ann_date=20190123 update_flag=0
REASON: （一）非经常性损益影响公司因涉及仲裁事宜，已于2017年度计提了预计负债48,000万元。该非经营性事项系对公司上一年度业绩影响（但不影响扣除非经常性损益的净利润）的重要因素，而上述非经营性事项对公司2018年度业绩未产生影响。（二）主营业务影响2018年度内，公司经营成本增加，系导致扣除非经常性损益后的净利润减少的重要因素。

### ordinal=01250 type=扭亏 ts_code=600866.SH end_date=20181231 ann_date=20190122 update_flag=0
REASON: （一）研判市场形势，着力开拓市场和调整营销策略，优化产品结构和市场布局，加强产销联动，实现产品销量和销售价格的双增长。（二）严抓生产管理确保生产稳定，加强成本控制和内部管理，提升管理水平，运营成本得到有效控制。

### ordinal=01251 type=扭亏 ts_code=600870.SH end_date=20181231 ann_date=20190131 update_flag=0
REASON: （一）非经营性损益的影响：1、出售全资子公司股权2018年7月30日，公司与广州复朴道和投资管理有限公司签订股权转让协议，将公司持有的子公司上海领彧投资有限公司的100%股权全部转让给广州复朴道和投资管理有限公司，转让价格1,930.00万元，本次转让增加公司净利润1,237.05万元。2、获得部分债务豁免2018年度公司分别与中信建投证券股份有限公司等3家中介机构签订债务豁免协议，免除公司因2016年债务重组相关的顾问服务费235.85万元、审计费26.42万元、律师费10.00万元，合计272.27万元，本次债务豁免增加公司净利润272.27万元。3、收回历史欠款公司于2018年5月2日收到原彩电销售客户贵阳国鼎家用电器贸易有限公司、贵阳云岩国鼎家电有限公司、遵义国鼎家用电器设备有限公司及都匀国鼎家用电器设备有限公司合计归还的140万元历史欠款。该款项的收回将为公司2018年度带来140万元的收益。（二）主营业务影响报告期内，公司积极拓展了新的农产品贸易业务及教育信息化服务业务，通过相关业务的有序开展，逐步提高了公司的盈利能力。

