event_id,symbol,decision_time,risk_state,category,held_seats,pending_seats,seats_used_before,available_seats,admission_rank,issued,skip_or_cancel_reason,seats_within_cap,rank_key,expiry_releases_seat,same_symbol_counts_once
B1|sz.002023|20181231|a2019-01-29|u0,sz.002023,2019-01-30 am,normal,slot_full,4,0,4,0,1,False,slot_full,True,"event_family_signals admission order = (decision_time, -rank_key, symbol); rank_key = ret60 so higher momentum is admitted first",engine: half-day orders expire every session; a pending entry drops on TTL (ENTRY_TTL_SESSIONS) / cap / cancel_level and the seat returns to the pool,held + pending are sets keyed by symbol
B1|sz.002458|20181231|a2019-01-29|u0,sz.002458,2019-01-30 am,normal,slot_full,4,0,4,0,2,False,slot_full,True,"event_family_signals admission order = (decision_time, -rank_key, symbol); rank_key = ret60 so higher momentum is admitted first",engine: half-day orders expire every session; a pending entry drops on TTL (ENTRY_TTL_SESSIONS) / cap / cancel_level and the seat returns to the pool,held + pending are sets keyed by symbol
B1|sz.002607|20181231|a2019-01-29|u0,sz.002607,2019-01-30 am,normal,slot_full,4,0,4,0,3,False,slot_full,True,"event_family_signals admission order = (decision_time, -rank_key, symbol); rank_key = ret60 so higher momentum is admitted first",engine: half-day orders expire every session; a pending entry drops on TTL (ENTRY_TTL_SESSIONS) / cap / cancel_level and the seat returns to the pool,held + pending are sets keyed by symbol
B1|sz.002414|20181231|a2019-01-30|u0,sz.002414,2019-01-31 am,normal,slot_full,4,0,4,0,1,False,slot_full,True,"event_family_signals admission order = (decision_time, -rank_key, symbol); rank_key = ret60 so higher momentum is admitted first",engine: half-day orders expire every session; a pending entry drops on TTL (ENTRY_TTL_SESSIONS) / cap / cancel_level and the seat returns to the pool,held + pending are sets keyed by symbol
B1|sz.002703|20181231|a2019-01-30|u0,sz.002703,2019-01-31 am,normal,slot_full,4,0,4,0,2,False,slot_full,True,"event_family_signals admission order = (decision_time, -rank_key, symbol); rank_key = ret60 so higher momentum is admitted first",engine: half-day orders expire every session; a pending entry drops on TTL (ENTRY_TTL_SESSIONS) / cap / cancel_level and the seat returns to the pool,held + pending are sets keyed by symbol
B1|sz.002725|20181231|a2019-01-30|u0,sz.002725,2019-01-31 am,normal,slot_full,4,0,4,0,3,False,slot_full,True,"event_family_signals admission order = (decision_time, -rank_key, symbol); rank_key = ret60 so higher momentum is admitted first",engine: half-day orders expire every session; a pending entry drops on TTL (ENTRY_TTL_SESSIONS) / cap / cancel_level and the seat returns to the pool,held + pending are sets keyed by symbol
B1|sz.002098|20181231|a2019-01-31|u0,sz.002098,2019-02-01 am,normal,slot_full,4,0,4,0,1,False,slot_full,True,"event_family_signals admission order = (decision_time, -rank_key, symbol); rank_key = ret60 so higher momentum is admitted first",engine: half-day orders expire every session; a pending entry drops on TTL (ENTRY_TTL_SESSIONS) / cap / cancel_level and the seat returns to the pool,held + pending are sets keyed by symbol
B1|sz.002129|20181231|a2019-01-31|u0,sz.002129,2019-02-01 am,normal,slot_full,4,0,4,0,2,False,slot_full,True,"event_family_signals admission order = (decision_time, -rank_key, symbol); rank_key = ret60 so higher momentum is admitted first",engine: half-day orders expire every session; a pending entry drops on TTL (ENTRY_TTL_SESSIONS) / cap / cancel_level and the seat returns to the pool,held + pending are sets keyed by symbol
B1|sz.002181|20181231|a2019-01-31|u0,sz.002181,2019-02-01 am,normal,slot_full,4,0,4,0,3,False,slot_full,True,"event_family_signals admission order = (decision_time, -rank_key, symbol); rank_key = ret60 so higher momentum is admitted first",engine: half-day orders expire every session; a pending entry drops on TTL (ENTRY_TTL_SESSIONS) / cap / cancel_level and the seat returns to the pool,held + pending are sets keyed by symbol
B1|sz.002270|20181231|a2019-01-31|u0,sz.002270,2019-02-01 am,normal,slot_full,4,0,4,0,4,False,slot_full,True,"event_family_signals admission order = (decision_time, -rank_key, symbol); rank_key = ret60 so higher momentum is admitted first",engine: half-day orders expire every session; a pending entry drops on TTL (ENTRY_TTL_SESSIONS) / cap / cancel_level and the seat returns to the pool,held + pending are sets keyed by symbol
B1|sz.002328|20181231|a2019-01-31|u0,sz.002328,2019-02-01 am,normal,slot_full,4,0,4,0,5,False,slot_full,True,"event_family_signals admission order = (decision_time, -rank_key, symbol); rank_key = ret60 so higher momentum is admitted first",engine: half-day orders expire every session; a pending entry drops on TTL (ENTRY_TTL_SESSIONS) / cap / cancel_level and the seat returns to the pool,held + pending are sets keyed by symbol
B1|sz.002510|20181231|a2019-01-31|u0,sz.002510,2019-02-01 am,normal,slot_full,4,0,4,0,6,False,slot_full,True,"event_family_signals admission order = (decision_time, -rank_key, symbol); rank_key = ret60 so higher momentum is admitted first",engine: half-day orders expire every session; a pending entry drops on TTL (ENTRY_TTL_SESSIONS) / cap / cancel_level and the seat returns to the pool,held + pending are sets keyed by symbol
B1|sz.002575|20181231|a2019-01-31|u0,sz.002575,2019-02-01 am,normal,slot_full,4,0,4,0,7,False,slot_full,True,"event_family_signals admission order = (decision_time, -rank_key, symbol); rank_key = ret60 so higher momentum is admitted first",engine: half-day orders expire every session; a pending entry drops on TTL (ENTRY_TTL_SESSIONS) / cap / cancel_level and the seat returns to the pool,held + pending are sets keyed by symbol
B1|sz.002099|20190331|a2019-04-09|u0,sz.002099,2019-04-10 am,normal,issued,0,0,0,4,1,True,cancel_cap,True,"event_family_signals admission order = (decision_time, -rank_key, symbol); rank_key = ret60 so higher momentum is admitted first",engine: half-day orders expire every session; a pending entry drops on TTL (ENTRY_TTL_SESSIONS) / cap / cancel_level and the seat returns to the pool,held + pending are sets keyed by symbol
B1|sz.002575|20190331|a2019-04-09|u0,sz.002575,2019-04-10 am,normal,issued,0,1,1,3,2,True,,True,"event_family_signals admission order = (decision_time, -rank_key, symbol); rank_key = ret60 so higher momentum is admitted first",engine: half-day orders expire every session; a pending entry drops on TTL (ENTRY_TTL_SESSIONS) / cap / cancel_level and the seat returns to the pool,held + pending are sets keyed by symbol
B1|sz.000996|20181231|a2019-04-10|u0,sz.000996,2019-04-11 am,normal,issued,1,0,1,3,1,True,,True,"event_family_signals admission order = (decision_time, -rank_key, symbol); rank_key = ret60 so higher momentum is admitted first",engine: half-day orders expire every session; a pending entry drops on TTL (ENTRY_TTL_SESSIONS) / cap / cancel_level and the seat returns to the pool,held + pending are sets keyed by symbol
B1|sz.002882|20190331|a2019-04-10|u0,sz.002882,2019-04-11 am,normal,issued,1,1,2,2,2,True,,True,"event_family_signals admission order = (decision_time, -rank_key, symbol); rank_key = ret60 so higher momentum is admitted first",engine: half-day orders expire every session; a pending entry drops on TTL (ENTRY_TTL_SESSIONS) / cap / cancel_level and the seat returns to the pool,held + pending are sets keyed by symbol
B1|sz.002079|20190331|a2019-04-11|u0,sz.002079,2019-04-12 am,normal,issued,3,0,3,1,1,True,,True,"event_family_signals admission order = (decision_time, -rank_key, symbol); rank_key = ret60 so higher momentum is admitted first",engine: half-day orders expire every session; a pending entry drops on TTL (ENTRY_TTL_SESSIONS) / cap / cancel_level and the seat returns to the pool,held + pending are sets keyed by symbol
B1|sz.002398|20190331|a2019-04-11|u0,sz.002398,2019-04-12 am,normal,slot_full,3,1,4,0,2,False,slot_full,True,"event_family_signals admission order = (decision_time, -rank_key, symbol); rank_key = ret60 so higher momentum is admitted first",engine: half-day orders expire every session; a pending entry drops on TTL (ENTRY_TTL_SESSIONS) / cap / cancel_level and the seat returns to the pool,held + pending are sets keyed by symbol
B1|sz.002012|20190331|a2019-04-13|u0,sz.002012,2019-04-15 am,normal,slot_full,4,0,4,0,1,False,slot_full,True,"event_family_signals admission order = (decision_time, -rank_key, symbol); rank_key = ret60 so higher momentum is admitted first",engine: half-day orders expire every session; a pending entry drops on TTL (ENTRY_TTL_SESSIONS) / cap / cancel_level and the seat returns to the pool,held + pending are sets keyed by symbol
B1|sz.002021|20190331|a2019-04-13|u0,sz.002021,2019-04-15 am,normal,slot_full,4,0,4,0,2,False,slot_full,True,"event_family_signals admission order = (decision_time, -rank_key, symbol); rank_key = ret60 so higher momentum is admitted first",engine: half-day orders expire every session; a pending entry drops on TTL (ENTRY_TTL_SESSIONS) / cap / cancel_level and the seat returns to the pool,held + pending are sets keyed by symbol
B1|sz.002151|20190331|a2019-04-13|u0,sz.002151,2019-04-15 am,normal,slot_full,4,0,4,0,3,False,slot_full,True,"event_family_signals admission order = (decision_time, -rank_key, symbol); rank_key = ret60 so higher momentum is admitted first",engine: half-day orders expire every session; a pending entry drops on TTL (ENTRY_TTL_SESSIONS) / cap / cancel_level and the seat returns to the pool,held + pending are sets keyed by symbol
B1|sz.002164|20190331|a2019-04-13|u0,sz.002164,2019-04-15 am,normal,slot_full,4,0,4,0,4,False,slot_full,True,"event_family_signals admission order = (decision_time, -rank_key, symbol); rank_key = ret60 so higher momentum is admitted first",engine: half-day orders expire every session; a pending entry drops on TTL (ENTRY_TTL_SESSIONS) / cap / cancel_level and the seat returns to the pool,held + pending are sets keyed by symbol
B1|sz.002234|20190331|a2019-04-13|u0,sz.002234,2019-04-15 am,normal,slot_full,4,0,4,0,5,False,slot_full,True,"event_family_signals admission order = (decision_time, -rank_key, symbol); rank_key = ret60 so higher momentum is admitted first",engine: half-day orders expire every session; a pending entry drops on TTL (ENTRY_TTL_SESSIONS) / cap / cancel_level and the seat returns to the pool,held + pending are sets keyed by symbol
B1|sz.002333|20190331|a2019-04-13|u0,sz.002333,2019-04-15 am,normal,slot_full,4,0,4,0,6,False,slot_full,True,"event_family_signals admission order = (decision_time, -rank_key, symbol); rank_key = ret60 so higher momentum is admitted first",engine: half-day orders expire every session; a pending entry drops on TTL (ENTRY_TTL_SESSIONS) / cap / cancel_level and the seat returns to the pool,held + pending are sets keyed by symbol
B1|sz.002381|20190331|a2019-04-13|u0,sz.002381,2019-04-15 am,normal,slot_full,4,0,4,0,7,False,slot_full,True,"event_family_signals admission order = (decision_time, -rank_key, symbol); rank_key = ret60 so higher momentum is admitted first",engine: half-day orders expire every session; a pending entry drops on TTL (ENTRY_TTL_SESSIONS) / cap / cancel_level and the seat returns to the pool,held + pending are sets keyed by symbol
B1|sz.002560|20190331|a2019-04-15|u0,sz.002560,2019-04-16 am,normal,slot_full,4,0,4,0,1,False,slot_full,True,"event_family_signals admission order = (decision_time, -rank_key, symbol); rank_key = ret60 so higher momentum is admitted first",engine: half-day orders expire every session; a pending entry drops on TTL (ENTRY_TTL_SESSIONS) / cap / cancel_level and the seat returns to the pool,held + pending are sets keyed by symbol
B1|sz.002591|20190331|a2019-04-15|u0,sz.002591,2019-04-16 am,normal,slot_full,4,0,4,0,2,False,slot_full,True,"event_family_signals admission order = (decision_time, -rank_key, symbol); rank_key = ret60 so higher momentum is admitted first",engine: half-day orders expire every session; a pending entry drops on TTL (ENTRY_TTL_SESSIONS) / cap / cancel_level and the seat returns to the pool,held + pending are sets keyed by symbol
B1|sz.002757|20190331|a2019-04-15|u0,sz.002757,2019-04-16 am,normal,slot_full,4,0,4,0,3,False,slot_full,True,"event_family_signals admission order = (decision_time, -rank_key, symbol); rank_key = ret60 so higher momentum is admitted first",engine: half-day orders expire every session; a pending entry drops on TTL (ENTRY_TTL_SESSIONS) / cap / cancel_level and the seat returns to the pool,held + pending are sets keyed by symbol
B1|sz.002669|20190331|a2019-04-16|u1,sz.002669,2019-04-17 am,normal,slot_full,4,0,4,0,1,False,slot_full,True,"event_family_signals admission order = (decision_time, -rank_key, symbol); rank_key = ret60 so higher momentum is admitted first",engine: half-day orders expire every session; a pending entry drops on TTL (ENTRY_TTL_SESSIONS) / cap / cancel_level and the seat returns to the pool,held + pending are sets keyed by symbol
B1|sz.002592|20190630|a2019-07-04|u0,sz.002592,2019-07-05 am,normal,issued,0,0,0,4,1,True,,True,"event_family_signals admission order = (decision_time, -rank_key, symbol); rank_key = ret60 so higher momentum is admitted first",engine: half-day orders expire every session; a pending entry drops on TTL (ENTRY_TTL_SESSIONS) / cap / cancel_level and the seat returns to the pool,held + pending are sets keyed by symbol
B1|sz.002182|20190630|a2019-07-09|u0,sz.002182,2019-07-10 am,normal,issued,1,0,1,3,1,True,cancel_cap,True,"event_family_signals admission order = (decision_time, -rank_key, symbol); rank_key = ret60 so higher momentum is admitted first",engine: half-day orders expire every session; a pending entry drops on TTL (ENTRY_TTL_SESSIONS) / cap / cancel_level and the seat returns to the pool,held + pending are sets keyed by symbol
B1|sz.002299|20190630|a2019-07-09|u0,sz.002299,2019-07-10 am,normal,issued,1,1,2,2,2,True,,True,"event_family_signals admission order = (decision_time, -rank_key, symbol); rank_key = ret60 so higher momentum is admitted first",engine: half-day orders expire every session; a pending entry drops on TTL (ENTRY_TTL_SESSIONS) / cap / cancel_level and the seat returns to the pool,held + pending are sets keyed by symbol
B1|sz.000912|20190630|a2019-07-13|u1,sz.000912,2019-07-15 am,normal,issued,2,0,2,2,1,True,,True,"event_family_signals admission order = (decision_time, -rank_key, symbol); rank_key = ret60 so higher momentum is admitted first",engine: half-day orders expire every session; a pending entry drops on TTL (ENTRY_TTL_SESSIONS) / cap / cancel_level and the seat returns to the pool,held + pending are sets keyed by symbol
B1|sz.002745|20190630|a2019-07-12|u0,sz.002745,2019-07-15 am,normal,issued,2,1,3,1,2,True,,True,"event_family_signals admission order = (decision_time, -rank_key, symbol); rank_key = ret60 so higher momentum is admitted first",engine: half-day orders expire every session; a pending entry drops on TTL (ENTRY_TTL_SESSIONS) / cap / cancel_level and the seat returns to the pool,held + pending are sets keyed by symbol
B1|sz.002869|20190630|a2019-07-12|u0,sz.002869,2019-07-15 am,normal,slot_full,2,2,4,0,3,False,slot_full,True,"event_family_signals admission order = (decision_time, -rank_key, symbol); rank_key = ret60 so higher momentum is admitted first",engine: half-day orders expire every session; a pending entry drops on TTL (ENTRY_TTL_SESSIONS) / cap / cancel_level and the seat returns to the pool,held + pending are sets keyed by symbol
B1|sz.002835|20190630|a2019-07-15|u1,sz.002835,2019-07-16 am,normal,slot_full,4,0,4,0,1,False,slot_full,True,"event_family_signals admission order = (decision_time, -rank_key, symbol); rank_key = ret60 so higher momentum is admitted first",engine: half-day orders expire every session; a pending entry drops on TTL (ENTRY_TTL_SESSIONS) / cap / cancel_level and the seat returns to the pool,held + pending are sets keyed by symbol
B1|sz.002299|20190930|a2019-10-09|u1,sz.002299,2019-10-10 am,normal,issued,0,0,0,4,1,True,,True,"event_family_signals admission order = (decision_time, -rank_key, symbol); rank_key = ret60 so higher momentum is admitted first",engine: half-day orders expire every session; a pending entry drops on TTL (ENTRY_TTL_SESSIONS) / cap / cancel_level and the seat returns to the pool,held + pending are sets keyed by symbol
B1|sz.002318|20190930|a2019-10-09|u1,sz.002318,2019-10-10 am,normal,issued,0,1,1,3,2,True,,True,"event_family_signals admission order = (decision_time, -rank_key, symbol); rank_key = ret60 so higher momentum is admitted first",engine: half-day orders expire every session; a pending entry drops on TTL (ENTRY_TTL_SESSIONS) / cap / cancel_level and the seat returns to the pool,held + pending are sets keyed by symbol
B1|sz.002639|20190930|a2019-10-11|u0,sz.002639,2019-10-14 am,normal,issued,2,0,2,2,1,True,,True,"event_family_signals admission order = (decision_time, -rank_key, symbol); rank_key = ret60 so higher momentum is admitted first",engine: half-day orders expire every session; a pending entry drops on TTL (ENTRY_TTL_SESSIONS) / cap / cancel_level and the seat returns to the pool,held + pending are sets keyed by symbol
B1|sz.002151|20190930|a2019-10-15|u1,sz.002151,2019-10-16 am,reduced,issued,3,0,3,1,1,True,,True,"event_family_signals admission order = (decision_time, -rank_key, symbol); rank_key = ret60 so higher momentum is admitted first",engine: half-day orders expire every session; a pending entry drops on TTL (ENTRY_TTL_SESSIONS) / cap / cancel_level and the seat returns to the pool,held + pending are sets keyed by symbol
B1|sz.002429|20190930|a2019-10-15|u0,sz.002429,2019-10-16 am,reduced,slot_full,3,1,4,0,2,False,slot_full,True,"event_family_signals admission order = (decision_time, -rank_key, symbol); rank_key = ret60 so higher momentum is admitted first",engine: half-day orders expire every session; a pending entry drops on TTL (ENTRY_TTL_SESSIONS) / cap / cancel_level and the seat returns to the pool,held + pending are sets keyed by symbol
B1|sz.002481|20190930|a2019-10-15|u0,sz.002481,2019-10-16 am,reduced,slot_full,3,1,4,0,3,False,slot_full,True,"event_family_signals admission order = (decision_time, -rank_key, symbol); rank_key = ret60 so higher momentum is admitted first",engine: half-day orders expire every session; a pending entry drops on TTL (ENTRY_TTL_SESSIONS) / cap / cancel_level and the seat returns to the pool,held + pending are sets keyed by symbol
B1|sz.002628|20190930|a2019-10-15|u0,sz.002628,2019-10-16 am,reduced,slot_full,3,1,4,0,4,False,slot_full,True,"event_family_signals admission order = (decision_time, -rank_key, symbol); rank_key = ret60 so higher momentum is admitted first",engine: half-day orders expire every session; a pending entry drops on TTL (ENTRY_TTL_SESSIONS) / cap / cancel_level and the seat returns to the pool,held + pending are sets keyed by symbol
B1|sz.002709|20190930|a2019-10-15|u0,sz.002709,2019-10-16 am,reduced,slot_full,3,1,4,0,5,False,slot_full,True,"event_family_signals admission order = (decision_time, -rank_key, symbol); rank_key = ret60 so higher momentum is admitted first",engine: half-day orders expire every session; a pending entry drops on TTL (ENTRY_TTL_SESSIONS) / cap / cancel_level and the seat returns to the pool,held + pending are sets keyed by symbol
B1|sz.002512|20190930|a2019-10-16|u0,sz.002512,2019-10-17 am,reduced,slot_full,4,0,4,0,1,False,slot_full,True,"event_family_signals admission order = (decision_time, -rank_key, symbol); rank_key = ret60 so higher momentum is admitted first",engine: half-day orders expire every session; a pending entry drops on TTL (ENTRY_TTL_SESSIONS) / cap / cancel_level and the seat returns to the pool,held + pending are sets keyed by symbol
B1|sz.002299|20191231|a2020-01-04|u0,sz.002299,2020-01-06 am,reduced,issued,0,0,0,4,1,True,,True,"event_family_signals admission order = (decision_time, -rank_key, symbol); rank_key = ret60 so higher momentum is admitted first",engine: half-day orders expire every session; a pending entry drops on TTL (ENTRY_TTL_SESSIONS) / cap / cancel_level and the seat returns to the pool,held + pending are sets keyed by symbol
B1|sz.002182|20191231|a2020-01-20|u0,sz.002182,2020-01-21 am,reduced,issued,1,0,1,3,1,True,,True,"event_family_signals admission order = (decision_time, -rank_key, symbol); rank_key = ret60 so higher momentum is admitted first",engine: half-day orders expire every session; a pending entry drops on TTL (ENTRY_TTL_SESSIONS) / cap / cancel_level and the seat returns to the pool,held + pending are sets keyed by symbol
B1|sz.002489|20191231|a2020-01-20|u0,sz.002489,2020-01-21 am,reduced,issued,1,1,2,2,2,True,,True,"event_family_signals admission order = (decision_time, -rank_key, symbol); rank_key = ret60 so higher momentum is admitted first",engine: half-day orders expire every session; a pending entry drops on TTL (ENTRY_TTL_SESSIONS) / cap / cancel_level and the seat returns to the pool,held + pending are sets keyed by symbol
B1|sz.002903|20191231|a2020-01-21|u0,sz.002903,2020-01-22 am,reduced,issued,3,0,3,1,1,True,,True,"event_family_signals admission order = (decision_time, -rank_key, symbol); rank_key = ret60 so higher momentum is admitted first",engine: half-day orders expire every session; a pending entry drops on TTL (ENTRY_TTL_SESSIONS) / cap / cancel_level and the seat returns to the pool,held + pending are sets keyed by symbol
B1|sz.002184|20191231|a2020-01-31|u0,sz.002184,2020-02-03 am,reduced,issued,3,0,3,1,1,True,,True,"event_family_signals admission order = (decision_time, -rank_key, symbol); rank_key = ret60 so higher momentum is admitted first",engine: half-day orders expire every session; a pending entry drops on TTL (ENTRY_TTL_SESSIONS) / cap / cancel_level and the seat returns to the pool,held + pending are sets keyed by symbol
B1|sz.002335|20191231|a2020-01-31|u0,sz.002335,2020-02-03 am,reduced,slot_full,3,1,4,0,2,False,slot_full,True,"event_family_signals admission order = (decision_time, -rank_key, symbol); rank_key = ret60 so higher momentum is admitted first",engine: half-day orders expire every session; a pending entry drops on TTL (ENTRY_TTL_SESSIONS) / cap / cancel_level and the seat returns to the pool,held + pending are sets keyed by symbol
B1|sz.002941|20191231|a2020-01-31|u0,sz.002941,2020-02-03 am,reduced,slot_full,3,1,4,0,3,False,slot_full,True,"event_family_signals admission order = (decision_time, -rank_key, symbol); rank_key = ret60 so higher momentum is admitted first",engine: half-day orders expire every session; a pending entry drops on TTL (ENTRY_TTL_SESSIONS) / cap / cancel_level and the seat returns to the pool,held + pending are sets keyed by symbol
B1|sz.002429|20191231|a2020-02-03|u0,sz.002429,2020-02-04 am,reduced,issued,3,0,3,1,1,True,cancel_cap,True,"event_family_signals admission order = (decision_time, -rank_key, symbol); rank_key = ret60 so higher momentum is admitted first",engine: half-day orders expire every session; a pending entry drops on TTL (ENTRY_TTL_SESSIONS) / cap / cancel_level and the seat returns to the pool,held + pending are sets keyed by symbol
B1|sz.002409|20200331|a2020-03-12|u0,sz.002409,2020-03-13 am,reduced,issued,0,0,0,4,1,True,cancel_cap,True,"event_family_signals admission order = (decision_time, -rank_key, symbol); rank_key = ret60 so higher momentum is admitted first",engine: half-day orders expire every session; a pending entry drops on TTL (ENTRY_TTL_SESSIONS) / cap / cancel_level and the seat returns to the pool,held + pending are sets keyed by symbol
B1|sz.000813|20191231|a2020-03-31|u0,sz.000813,2020-04-01 am,reduced,issued,0,0,0,4,1,True,,True,"event_family_signals admission order = (decision_time, -rank_key, symbol); rank_key = ret60 so higher momentum is admitted first",engine: half-day orders expire every session; a pending entry drops on TTL (ENTRY_TTL_SESSIONS) / cap / cancel_level and the seat returns to the pool,held + pending are sets keyed by symbol
B1|sz.002605|20200331|a2020-04-08|u0,sz.002605,2020-04-09 am,reduced,issued,1,0,1,3,1,True,,True,"event_family_signals admission order = (decision_time, -rank_key, symbol); rank_key = ret60 so higher momentum is admitted first",engine: half-day orders expire every session; a pending entry drops on TTL (ENTRY_TTL_SESSIONS) / cap / cancel_level and the seat returns to the pool,held + pending are sets keyed by symbol
B1|sz.002258|20200331|a2020-04-11|u0,sz.002258,2020-04-13 am,reduced,issued,2,0,2,2,1,True,,True,"event_family_signals admission order = (decision_time, -rank_key, symbol); rank_key = ret60 so higher momentum is admitted first",engine: half-day orders expire every session; a pending entry drops on TTL (ENTRY_TTL_SESSIONS) / cap / cancel_level and the seat returns to the pool,held + pending are sets keyed by symbol
B1|sz.002312|20200331|a2020-04-15|u0,sz.002312,2020-04-16 am,reduced,issued,3,0,3,1,1,True,,True,"event_family_signals admission order = (decision_time, -rank_key, symbol); rank_key = ret60 so higher momentum is admitted first",engine: half-day orders expire every session; a pending entry drops on TTL (ENTRY_TTL_SESSIONS) / cap / cancel_level and the seat returns to the pool,held + pending are sets keyed by symbol
B1|sz.002384|20200630|a2020-06-09|u0,sz.002384,2020-06-10 am,reduced,issued,0,0,0,4,1,True,,True,"event_family_signals admission order = (decision_time, -rank_key, symbol); rank_key = ret60 so higher momentum is admitted first",engine: half-day orders expire every session; a pending entry drops on TTL (ENTRY_TTL_SESSIONS) / cap / cancel_level and the seat returns to the pool,held + pending are sets keyed by symbol
B1|sz.002585|20200630|a2020-06-30|u0,sz.002585,2020-07-01 am,reduced,issued,1,0,1,3,1,True,,True,"event_family_signals admission order = (decision_time, -rank_key, symbol); rank_key = ret60 so higher momentum is admitted first",engine: half-day orders expire every session; a pending entry drops on TTL (ENTRY_TTL_SESSIONS) / cap / cancel_level and the seat returns to the pool,held + pending are sets keyed by symbol
B1|sz.002702|20200630|a2020-07-02|u0,sz.002702,2020-07-03 am,reduced,issued,2,0,2,2,1,True,,True,"event_family_signals admission order = (decision_time, -rank_key, symbol); rank_key = ret60 so higher momentum is admitted first",engine: half-day orders expire every session; a pending entry drops on TTL (ENTRY_TTL_SESSIONS) / cap / cancel_level and the seat returns to the pool,held + pending are sets keyed by symbol
B1|sz.002709|20200630|a2020-07-07|u0,sz.002709,2020-07-08 am,reduced,issued,3,0,3,1,1,True,,True,"event_family_signals admission order = (decision_time, -rank_key, symbol); rank_key = ret60 so higher momentum is admitted first",engine: half-day orders expire every session; a pending entry drops on TTL (ENTRY_TTL_SESSIONS) / cap / cancel_level and the seat returns to the pool,held + pending are sets keyed by symbol
