event_id,symbol,ann_date,decision_day,decision_session,trigger_close_official,anchor_kind,trigger_cap_1p01,provider_cap_b1,decision_anchor_price,order_price_first,order_price_last,issued,skip_or_cancel_reason,cap_ge_anchor,limit_equals_anchor,limit_equals_cap,relationship,provider_rule,engine_rule
B1|sz.002023|20181231|a2019-01-29|u0,sz.002023,2019-01-29,2019-01-30,am,10.32,official_close(previous session; 11:30 anchor),10.4232,10.403,10.3,,,False,slot_full,True,,,limit_is_decision_anchor__b1_cap_ungated,BEvent(B1) branch: cap = decision anchor x (1+CHASE=1.01); no skip_cap gate (skip_cap is TriggerEvent-only); trigger_cap_1p01 column is A-family diagnostic (trigger_close x 1.01) [corrected in rework R1],band_engine order construction: anchor_price = decision anchor (stock anchors are not tick-rounded)
B1|sz.002458|20181231|a2019-01-29|u0,sz.002458,2019-01-29,2019-01-30,am,17.41,official_close(previous session; 11:30 anchor),17.5841,17.2003,17.03,,,False,slot_full,True,,,limit_is_decision_anchor__b1_cap_ungated,BEvent(B1) branch: cap = decision anchor x (1+CHASE=1.01); no skip_cap gate (skip_cap is TriggerEvent-only); trigger_cap_1p01 column is A-family diagnostic (trigger_close x 1.01) [corrected in rework R1],band_engine order construction: anchor_price = decision anchor (stock anchors are not tick-rounded)
B1|sz.002607|20181231|a2019-01-29|u0,sz.002607,2019-01-29,2019-01-30,am,8.42,official_close(previous session; 11:30 anchor),8.5042,8.4941,8.41,,,False,slot_full,True,,,limit_is_decision_anchor__b1_cap_ungated,BEvent(B1) branch: cap = decision anchor x (1+CHASE=1.01); no skip_cap gate (skip_cap is TriggerEvent-only); trigger_cap_1p01 column is A-family diagnostic (trigger_close x 1.01) [corrected in rework R1],band_engine order construction: anchor_price = decision anchor (stock anchors are not tick-rounded)
B1|sz.002414|20181231|a2019-01-30|u0,sz.002414,2019-01-30,2019-01-31,am,21.26,official_close(previous session; 11:30 anchor),21.4726,21.3312,21.12,,,False,slot_full,True,,,limit_is_decision_anchor__b1_cap_ungated,BEvent(B1) branch: cap = decision anchor x (1+CHASE=1.01); no skip_cap gate (skip_cap is TriggerEvent-only); trigger_cap_1p01 column is A-family diagnostic (trigger_close x 1.01) [corrected in rework R1],band_engine order construction: anchor_price = decision anchor (stock anchors are not tick-rounded)
B1|sz.002703|20181231|a2019-01-30|u0,sz.002703,2019-01-30,2019-01-31,am,4.15,official_close(previous session; 11:30 anchor),4.1915,4.2218,4.18,,,False,slot_full,True,,,limit_is_decision_anchor__b1_cap_ungated,BEvent(B1) branch: cap = decision anchor x (1+CHASE=1.01); no skip_cap gate (skip_cap is TriggerEvent-only); trigger_cap_1p01 column is A-family diagnostic (trigger_close x 1.01) [corrected in rework R1],band_engine order construction: anchor_price = decision anchor (stock anchors are not tick-rounded)
B1|sz.002725|20181231|a2019-01-30|u0,sz.002725,2019-01-30,2019-01-31,am,8.79,official_close(previous session; 11:30 anchor),8.8779,9.1102,9.02,,,False,slot_full,True,,,limit_is_decision_anchor__b1_cap_ungated,BEvent(B1) branch: cap = decision anchor x (1+CHASE=1.01); no skip_cap gate (skip_cap is TriggerEvent-only); trigger_cap_1p01 column is A-family diagnostic (trigger_close x 1.01) [corrected in rework R1],band_engine order construction: anchor_price = decision anchor (stock anchors are not tick-rounded)
B1|sz.002098|20181231|a2019-01-31|u0,sz.002098,2019-01-31,2019-02-01,am,7.82,official_close(previous session; 11:30 anchor),7.8982,8.0396,7.96,,,False,slot_full,True,,,limit_is_decision_anchor__b1_cap_ungated,BEvent(B1) branch: cap = decision anchor x (1+CHASE=1.01); no skip_cap gate (skip_cap is TriggerEvent-only); trigger_cap_1p01 column is A-family diagnostic (trigger_close x 1.01) [corrected in rework R1],band_engine order construction: anchor_price = decision anchor (stock anchors are not tick-rounded)
B1|sz.002129|20181231|a2019-01-31|u0,sz.002129,2019-01-31,2019-02-01,am,8.41,official_close(previous session; 11:30 anchor),8.4941,8.9284,8.84,,,False,slot_full,True,,,limit_is_decision_anchor__b1_cap_ungated,BEvent(B1) branch: cap = decision anchor x (1+CHASE=1.01); no skip_cap gate (skip_cap is TriggerEvent-only); trigger_cap_1p01 column is A-family diagnostic (trigger_close x 1.01) [corrected in rework R1],band_engine order construction: anchor_price = decision anchor (stock anchors are not tick-rounded)
B1|sz.002181|20181231|a2019-01-31|u0,sz.002181,2019-01-31,2019-02-01,am,3.88,official_close(previous session; 11:30 anchor),3.9188,4.0299,3.99,,,False,slot_full,True,,,limit_is_decision_anchor__b1_cap_ungated,BEvent(B1) branch: cap = decision anchor x (1+CHASE=1.01); no skip_cap gate (skip_cap is TriggerEvent-only); trigger_cap_1p01 column is A-family diagnostic (trigger_close x 1.01) [corrected in rework R1],band_engine order construction: anchor_price = decision anchor (stock anchors are not tick-rounded)
B1|sz.002270|20181231|a2019-01-31|u0,sz.002270,2019-01-31,2019-02-01,am,4.06,official_close(previous session; 11:30 anchor),4.1006,4.2319,4.19,,,False,slot_full,True,,,limit_is_decision_anchor__b1_cap_ungated,BEvent(B1) branch: cap = decision anchor x (1+CHASE=1.01); no skip_cap gate (skip_cap is TriggerEvent-only); trigger_cap_1p01 column is A-family diagnostic (trigger_close x 1.01) [corrected in rework R1],band_engine order construction: anchor_price = decision anchor (stock anchors are not tick-rounded)
B1|sz.002328|20181231|a2019-01-31|u0,sz.002328,2019-01-31,2019-02-01,am,5.24,official_close(previous session; 11:30 anchor),5.2924,5.3934,5.34,,,False,slot_full,True,,,limit_is_decision_anchor__b1_cap_ungated,BEvent(B1) branch: cap = decision anchor x (1+CHASE=1.01); no skip_cap gate (skip_cap is TriggerEvent-only); trigger_cap_1p01 column is A-family diagnostic (trigger_close x 1.01) [corrected in rework R1],band_engine order construction: anchor_price = decision anchor (stock anchors are not tick-rounded)
B1|sz.002510|20181231|a2019-01-31|u0,sz.002510,2019-01-31,2019-02-01,am,3.81,official_close(previous session; 11:30 anchor),3.8481,3.9188,3.88,,,False,slot_full,True,,,limit_is_decision_anchor__b1_cap_ungated,BEvent(B1) branch: cap = decision anchor x (1+CHASE=1.01); no skip_cap gate (skip_cap is TriggerEvent-only); trigger_cap_1p01 column is A-family diagnostic (trigger_close x 1.01) [corrected in rework R1],band_engine order construction: anchor_price = decision anchor (stock anchors are not tick-rounded)
B1|sz.002575|20181231|a2019-01-31|u0,sz.002575,2019-01-31,2019-02-01,am,7.0,official_close(previous session; 11:30 anchor),7.07,7.4235,7.35,,,False,slot_full,True,,,limit_is_decision_anchor__b1_cap_ungated,BEvent(B1) branch: cap = decision anchor x (1+CHASE=1.01); no skip_cap gate (skip_cap is TriggerEvent-only); trigger_cap_1p01 column is A-family diagnostic (trigger_close x 1.01) [corrected in rework R1],band_engine order construction: anchor_price = decision anchor (stock anchors are not tick-rounded)
B1|sz.002099|20190331|a2019-04-09|u0,sz.002099,2019-04-09,2019-04-10,am,10.01,official_close(previous session; 11:30 anchor),10.1101,10.7969,10.69,10.69,10.69,True,cancel_cap,True,True,False,limit_is_decision_anchor__b1_cap_ungated,BEvent(B1) branch: cap = decision anchor x (1+CHASE=1.01); no skip_cap gate (skip_cap is TriggerEvent-only); trigger_cap_1p01 column is A-family diagnostic (trigger_close x 1.01) [corrected in rework R1],band_engine order construction: anchor_price = decision anchor (stock anchors are not tick-rounded)
B1|sz.002575|20190331|a2019-04-09|u0,sz.002575,2019-04-09,2019-04-10,am,8.58,official_close(previous session; 11:30 anchor),8.6658,9.1809,9.09,9.09,9.09,True,,True,True,False,limit_is_decision_anchor__b1_cap_ungated,BEvent(B1) branch: cap = decision anchor x (1+CHASE=1.01); no skip_cap gate (skip_cap is TriggerEvent-only); trigger_cap_1p01 column is A-family diagnostic (trigger_close x 1.01) [corrected in rework R1],band_engine order construction: anchor_price = decision anchor (stock anchors are not tick-rounded)
B1|sz.000996|20181231|a2019-04-10|u0,sz.000996,2019-04-10,2019-04-11,am,16.17,official_close(previous session; 11:30 anchor),16.3317,16.5034,16.34,16.34,16.34,True,,True,True,False,limit_is_decision_anchor__b1_cap_ungated,BEvent(B1) branch: cap = decision anchor x (1+CHASE=1.01); no skip_cap gate (skip_cap is TriggerEvent-only); trigger_cap_1p01 column is A-family diagnostic (trigger_close x 1.01) [corrected in rework R1],band_engine order construction: anchor_price = decision anchor (stock anchors are not tick-rounded)
B1|sz.002882|20190331|a2019-04-10|u0,sz.002882,2019-04-10,2019-04-11,am,12.2,official_close(previous session; 11:30 anchor),12.322,12.0695,11.95,11.95,11.95,True,,True,True,False,limit_is_decision_anchor__b1_cap_ungated,BEvent(B1) branch: cap = decision anchor x (1+CHASE=1.01); no skip_cap gate (skip_cap is TriggerEvent-only); trigger_cap_1p01 column is A-family diagnostic (trigger_close x 1.01) [corrected in rework R1],band_engine order construction: anchor_price = decision anchor (stock anchors are not tick-rounded)
B1|sz.002079|20190331|a2019-04-11|u0,sz.002079,2019-04-11,2019-04-12,am,7.37,official_close(previous session; 11:30 anchor),7.4437,7.4134,7.34,7.34,7.34,True,,True,True,False,limit_is_decision_anchor__b1_cap_ungated,BEvent(B1) branch: cap = decision anchor x (1+CHASE=1.01); no skip_cap gate (skip_cap is TriggerEvent-only); trigger_cap_1p01 column is A-family diagnostic (trigger_close x 1.01) [corrected in rework R1],band_engine order construction: anchor_price = decision anchor (stock anchors are not tick-rounded)
B1|sz.002398|20190331|a2019-04-11|u0,sz.002398,2019-04-11,2019-04-12,am,7.34,official_close(previous session; 11:30 anchor),7.4134,7.3427,7.27,,,False,slot_full,True,,,limit_is_decision_anchor__b1_cap_ungated,BEvent(B1) branch: cap = decision anchor x (1+CHASE=1.01); no skip_cap gate (skip_cap is TriggerEvent-only); trigger_cap_1p01 column is A-family diagnostic (trigger_close x 1.01) [corrected in rework R1],band_engine order construction: anchor_price = decision anchor (stock anchors are not tick-rounded)
B1|sz.002012|20190331|a2019-04-13|u0,sz.002012,2019-04-13,2019-04-15,am,7.3,official_close(previous session; 11:30 anchor),7.373,7.474,7.4,,,False,slot_full,True,,,limit_is_decision_anchor__b1_cap_ungated,BEvent(B1) branch: cap = decision anchor x (1+CHASE=1.01); no skip_cap gate (skip_cap is TriggerEvent-only); trigger_cap_1p01 column is A-family diagnostic (trigger_close x 1.01) [corrected in rework R1],band_engine order construction: anchor_price = decision anchor (stock anchors are not tick-rounded)
B1|sz.002021|20190331|a2019-04-13|u0,sz.002021,2019-04-13,2019-04-15,am,3.3,official_close(previous session; 11:30 anchor),3.333,3.3734,3.34,,,False,slot_full,True,,,limit_is_decision_anchor__b1_cap_ungated,BEvent(B1) branch: cap = decision anchor x (1+CHASE=1.01); no skip_cap gate (skip_cap is TriggerEvent-only); trigger_cap_1p01 column is A-family diagnostic (trigger_close x 1.01) [corrected in rework R1],band_engine order construction: anchor_price = decision anchor (stock anchors are not tick-rounded)
B1|sz.002151|20190331|a2019-04-13|u0,sz.002151,2019-04-13,2019-04-15,am,26.11,official_close(previous session; 11:30 anchor),26.3711,26.5933,26.33,,,False,slot_full,True,,,limit_is_decision_anchor__b1_cap_ungated,BEvent(B1) branch: cap = decision anchor x (1+CHASE=1.01); no skip_cap gate (skip_cap is TriggerEvent-only); trigger_cap_1p01 column is A-family diagnostic (trigger_close x 1.01) [corrected in rework R1],band_engine order construction: anchor_price = decision anchor (stock anchors are not tick-rounded)
B1|sz.002164|20190331|a2019-04-13|u0,sz.002164,2019-04-13,2019-04-15,am,3.87,official_close(previous session; 11:30 anchor),3.9087,3.939,3.9,,,False,slot_full,True,,,limit_is_decision_anchor__b1_cap_ungated,BEvent(B1) branch: cap = decision anchor x (1+CHASE=1.01); no skip_cap gate (skip_cap is TriggerEvent-only); trigger_cap_1p01 column is A-family diagnostic (trigger_close x 1.01) [corrected in rework R1],band_engine order construction: anchor_price = decision anchor (stock anchors are not tick-rounded)
B1|sz.002234|20190331|a2019-04-13|u0,sz.002234,2019-04-13,2019-04-15,am,32.36,official_close(previous session; 11:30 anchor),32.6836,32.2291,31.91,,,False,slot_full,True,,,limit_is_decision_anchor__b1_cap_ungated,BEvent(B1) branch: cap = decision anchor x (1+CHASE=1.01); no skip_cap gate (skip_cap is TriggerEvent-only); trigger_cap_1p01 column is A-family diagnostic (trigger_close x 1.01) [corrected in rework R1],band_engine order construction: anchor_price = decision anchor (stock anchors are not tick-rounded)
B1|sz.002333|20190331|a2019-04-13|u0,sz.002333,2019-04-13,2019-04-15,am,7.7,official_close(previous session; 11:30 anchor),7.777,7.676,7.6,,,False,slot_full,True,,,limit_is_decision_anchor__b1_cap_ungated,BEvent(B1) branch: cap = decision anchor x (1+CHASE=1.01); no skip_cap gate (skip_cap is TriggerEvent-only); trigger_cap_1p01 column is A-family diagnostic (trigger_close x 1.01) [corrected in rework R1],band_engine order construction: anchor_price = decision anchor (stock anchors are not tick-rounded)
B1|sz.002381|20190331|a2019-04-13|u0,sz.002381,2019-04-13,2019-04-15,am,11.34,official_close(previous session; 11:30 anchor),11.4534,11.4029,11.29,,,False,slot_full,True,,,limit_is_decision_anchor__b1_cap_ungated,BEvent(B1) branch: cap = decision anchor x (1+CHASE=1.01); no skip_cap gate (skip_cap is TriggerEvent-only); trigger_cap_1p01 column is A-family diagnostic (trigger_close x 1.01) [corrected in rework R1],band_engine order construction: anchor_price = decision anchor (stock anchors are not tick-rounded)
B1|sz.002560|20190331|a2019-04-15|u0,sz.002560,2019-04-15,2019-04-16,am,6.23,official_close(previous session; 11:30 anchor),6.2923,6.4034,6.34,,,False,slot_full,True,,,limit_is_decision_anchor__b1_cap_ungated,BEvent(B1) branch: cap = decision anchor x (1+CHASE=1.01); no skip_cap gate (skip_cap is TriggerEvent-only); trigger_cap_1p01 column is A-family diagnostic (trigger_close x 1.01) [corrected in rework R1],band_engine order construction: anchor_price = decision anchor (stock anchors are not tick-rounded)
B1|sz.002591|20190331|a2019-04-15|u0,sz.002591,2019-04-15,2019-04-16,am,8.21,official_close(previous session; 11:30 anchor),8.2921,8.1002,8.02,,,False,slot_full,True,,,limit_is_decision_anchor__b1_cap_ungated,BEvent(B1) branch: cap = decision anchor x (1+CHASE=1.01); no skip_cap gate (skip_cap is TriggerEvent-only); trigger_cap_1p01 column is A-family diagnostic (trigger_close x 1.01) [corrected in rework R1],band_engine order construction: anchor_price = decision anchor (stock anchors are not tick-rounded)
B1|sz.002757|20190331|a2019-04-15|u0,sz.002757,2019-04-15,2019-04-16,am,33.18,official_close(previous session; 11:30 anchor),33.5118,33.3098,32.98,,,False,slot_full,True,,,limit_is_decision_anchor__b1_cap_ungated,BEvent(B1) branch: cap = decision anchor x (1+CHASE=1.01); no skip_cap gate (skip_cap is TriggerEvent-only); trigger_cap_1p01 column is A-family diagnostic (trigger_close x 1.01) [corrected in rework R1],band_engine order construction: anchor_price = decision anchor (stock anchors are not tick-rounded)
B1|sz.002669|20190331|a2019-04-16|u1,sz.002669,2019-04-16,2019-04-17,am,14.78,official_close(previous session; 11:30 anchor),14.9278,15.3015,15.15,,,False,slot_full,True,,,limit_is_decision_anchor__b1_cap_ungated,BEvent(B1) branch: cap = decision anchor x (1+CHASE=1.01); no skip_cap gate (skip_cap is TriggerEvent-only); trigger_cap_1p01 column is A-family diagnostic (trigger_close x 1.01) [corrected in rework R1],band_engine order construction: anchor_price = decision anchor (stock anchors are not tick-rounded)
B1|sz.002592|20190630|a2019-07-04|u0,sz.002592,2019-07-04,2019-07-05,am,15.84,official_close(previous session; 11:30 anchor),15.9984,15.857,15.7,15.7,15.7,True,,True,True,False,limit_is_decision_anchor__b1_cap_ungated,BEvent(B1) branch: cap = decision anchor x (1+CHASE=1.01); no skip_cap gate (skip_cap is TriggerEvent-only); trigger_cap_1p01 column is A-family diagnostic (trigger_close x 1.01) [corrected in rework R1],band_engine order construction: anchor_price = decision anchor (stock anchors are not tick-rounded)
B1|sz.002182|20190630|a2019-07-09|u0,sz.002182,2019-07-09,2019-07-10,am,7.76,official_close(previous session; 11:30 anchor),7.8376,7.9487,7.87,7.87,7.87,True,cancel_cap,True,True,False,limit_is_decision_anchor__b1_cap_ungated,BEvent(B1) branch: cap = decision anchor x (1+CHASE=1.01); no skip_cap gate (skip_cap is TriggerEvent-only); trigger_cap_1p01 column is A-family diagnostic (trigger_close x 1.01) [corrected in rework R1],band_engine order construction: anchor_price = decision anchor (stock anchors are not tick-rounded)
B1|sz.002299|20190630|a2019-07-09|u0,sz.002299,2019-07-09,2019-07-10,am,26.9,official_close(previous session; 11:30 anchor),27.169,26.7953,26.53,26.53,26.53,True,,True,True,False,limit_is_decision_anchor__b1_cap_ungated,BEvent(B1) branch: cap = decision anchor x (1+CHASE=1.01); no skip_cap gate (skip_cap is TriggerEvent-only); trigger_cap_1p01 column is A-family diagnostic (trigger_close x 1.01) [corrected in rework R1],band_engine order construction: anchor_price = decision anchor (stock anchors are not tick-rounded)
B1|sz.000912|20190630|a2019-07-13|u1,sz.000912,2019-07-13,2019-07-15,am,6.0,official_close(previous session; 11:30 anchor),6.06,5.7469,5.69,5.69,5.69,True,,True,True,False,limit_is_decision_anchor__b1_cap_ungated,BEvent(B1) branch: cap = decision anchor x (1+CHASE=1.01); no skip_cap gate (skip_cap is TriggerEvent-only); trigger_cap_1p01 column is A-family diagnostic (trigger_close x 1.01) [corrected in rework R1],band_engine order construction: anchor_price = decision anchor (stock anchors are not tick-rounded)
B1|sz.002745|20190630|a2019-07-12|u0,sz.002745,2019-07-12,2019-07-15,am,11.5,official_close(previous session; 11:30 anchor),11.615,11.8069,11.69,11.69,11.69,True,,True,True,False,limit_is_decision_anchor__b1_cap_ungated,BEvent(B1) branch: cap = decision anchor x (1+CHASE=1.01); no skip_cap gate (skip_cap is TriggerEvent-only); trigger_cap_1p01 column is A-family diagnostic (trigger_close x 1.01) [corrected in rework R1],band_engine order construction: anchor_price = decision anchor (stock anchors are not tick-rounded)
B1|sz.002869|20190630|a2019-07-12|u0,sz.002869,2019-07-12,2019-07-15,am,45.73,official_close(previous session; 11:30 anchor),46.1873,49.5102,49.02,,,False,slot_full,True,,,limit_is_decision_anchor__b1_cap_ungated,BEvent(B1) branch: cap = decision anchor x (1+CHASE=1.01); no skip_cap gate (skip_cap is TriggerEvent-only); trigger_cap_1p01 column is A-family diagnostic (trigger_close x 1.01) [corrected in rework R1],band_engine order construction: anchor_price = decision anchor (stock anchors are not tick-rounded)
B1|sz.002835|20190630|a2019-07-15|u1,sz.002835,2019-07-15,2019-07-16,am,9.57,official_close(previous session; 11:30 anchor),9.6657,9.7162,9.62,,,False,slot_full,True,,,limit_is_decision_anchor__b1_cap_ungated,BEvent(B1) branch: cap = decision anchor x (1+CHASE=1.01); no skip_cap gate (skip_cap is TriggerEvent-only); trigger_cap_1p01 column is A-family diagnostic (trigger_close x 1.01) [corrected in rework R1],band_engine order construction: anchor_price = decision anchor (stock anchors are not tick-rounded)
B1|sz.002299|20190930|a2019-10-09|u1,sz.002299,2019-10-09,2019-10-10,am,26.67,official_close(previous session; 11:30 anchor),26.9367,27.3508,27.08,27.08,27.08,True,,True,True,False,limit_is_decision_anchor__b1_cap_ungated,BEvent(B1) branch: cap = decision anchor x (1+CHASE=1.01); no skip_cap gate (skip_cap is TriggerEvent-only); trigger_cap_1p01 column is A-family diagnostic (trigger_close x 1.01) [corrected in rework R1],band_engine order construction: anchor_price = decision anchor (stock anchors are not tick-rounded)
B1|sz.002318|20190930|a2019-10-09|u1,sz.002318,2019-10-09,2019-10-10,am,8.42,official_close(previous session; 11:30 anchor),8.5042,8.6658,8.58,8.58,8.58,True,,True,True,False,limit_is_decision_anchor__b1_cap_ungated,BEvent(B1) branch: cap = decision anchor x (1+CHASE=1.01); no skip_cap gate (skip_cap is TriggerEvent-only); trigger_cap_1p01 column is A-family diagnostic (trigger_close x 1.01) [corrected in rework R1],band_engine order construction: anchor_price = decision anchor (stock anchors are not tick-rounded)
B1|sz.002639|20190930|a2019-10-11|u0,sz.002639,2019-10-11,2019-10-14,am,9.07,official_close(previous session; 11:30 anchor),9.1607,9.2213,9.13,9.13,9.13,True,,True,True,False,limit_is_decision_anchor__b1_cap_ungated,BEvent(B1) branch: cap = decision anchor x (1+CHASE=1.01); no skip_cap gate (skip_cap is TriggerEvent-only); trigger_cap_1p01 column is A-family diagnostic (trigger_close x 1.01) [corrected in rework R1],band_engine order construction: anchor_price = decision anchor (stock anchors are not tick-rounded)
B1|sz.002151|20190930|a2019-10-15|u1,sz.002151,2019-10-15,2019-10-16,am,21.74,official_close(previous session; 11:30 anchor),21.9574,22.0079,21.79,21.79,21.79,True,,True,True,False,limit_is_decision_anchor__b1_cap_ungated,BEvent(B1) branch: cap = decision anchor x (1+CHASE=1.01); no skip_cap gate (skip_cap is TriggerEvent-only); trigger_cap_1p01 column is A-family diagnostic (trigger_close x 1.01) [corrected in rework R1],band_engine order construction: anchor_price = decision anchor (stock anchors are not tick-rounded)
B1|sz.002429|20190930|a2019-10-15|u0,sz.002429,2019-10-15,2019-10-16,am,2.96,official_close(previous session; 11:30 anchor),2.9896,2.929,2.9,,,False,slot_full,True,,,limit_is_decision_anchor__b1_cap_ungated,BEvent(B1) branch: cap = decision anchor x (1+CHASE=1.01); no skip_cap gate (skip_cap is TriggerEvent-only); trigger_cap_1p01 column is A-family diagnostic (trigger_close x 1.01) [corrected in rework R1],band_engine order construction: anchor_price = decision anchor (stock anchors are not tick-rounded)
B1|sz.002481|20190930|a2019-10-15|u0,sz.002481,2019-10-15,2019-10-16,am,8.43,official_close(previous session; 11:30 anchor),8.5143,8.3325,8.25,,,False,slot_full,True,,,limit_is_decision_anchor__b1_cap_ungated,BEvent(B1) branch: cap = decision anchor x (1+CHASE=1.01); no skip_cap gate (skip_cap is TriggerEvent-only); trigger_cap_1p01 column is A-family diagnostic (trigger_close x 1.01) [corrected in rework R1],band_engine order construction: anchor_price = decision anchor (stock anchors are not tick-rounded)
B1|sz.002628|20190930|a2019-10-15|u0,sz.002628,2019-10-15,2019-10-16,am,4.8,official_close(previous session; 11:30 anchor),4.848,4.8379,4.79,,,False,slot_full,True,,,limit_is_decision_anchor__b1_cap_ungated,BEvent(B1) branch: cap = decision anchor x (1+CHASE=1.01); no skip_cap gate (skip_cap is TriggerEvent-only); trigger_cap_1p01 column is A-family diagnostic (trigger_close x 1.01) [corrected in rework R1],band_engine order construction: anchor_price = decision anchor (stock anchors are not tick-rounded)
